title,release_date_rt,year,genres_rt,rating_rt_audience
worlds end,2013-08-23,2013,['Comedy'],71.0
wrestler,2008-09-05,2008,['Drama'],88.0
wretched,2020-05-01,2020,['Horror'],46.0
wrong missy,,,['Comedy'],51.0
year dolly parton was my mom,,,"['Comedy', 'Drama']",32.0
year of the yao,2005-04-15,2005,"['Documentary', 'Special Interest', 'Sports & Fitness']",70.0
yellow birds,2018-06-15,2018,['Drama'],41.0
yellow sea hwanghae,2011-12-02,2011,"['Art House & International', 'Drama', 'Mystery & Suspense']",78.0
yes men are revolting,2015-06-12,2015,['Documentary'],55.0
young girl and the monsoon,2001-04-01,2001,"['Art House & International', 'Comedy', 'Drama']",43.0
young girls of rochefort les demoiselles de rochefort,1968-04-11,1968,"['Art House & International', 'Classics', 'Musical & Performing Arts', 'Romance']",84.0
young karl marx le jeune karl marx,2018-02-23,2018,"['Art House & International', 'Drama']",69.0
young messiah,2016-03-11,2016,['Drama'],66.0
young philadelphians,1959-05-21,1959,"['Classics', 'Drama']",80.0
young unknown,2000-03-12,2000,['Drama'],
zen of bennett,2012-10-24,2012,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",70.0
zero theorem,2014-09-19,2014,"['Drama', 'Science Fiction & Fantasy']",43.0
zookeepers wife,2017-03-31,2017,['Drama'],76.0
theater of blood theatre of blood much ado about murder,1973-04-05,1973,"['Classics', 'Comedy', 'Horror']",81.0
theeb,2015-11-06,2015,"['Action & Adventure', 'Drama']",76.0
their finest,2017-04-07,2017,"['Comedy', 'Drama', 'Romance']",71.0
thelma,2017-11-10,2017,"['Art House & International', 'Mystery & Suspense']",77.0
thelma louise,1991-05-24,1991,['Comedy'],82.0
them,2007-08-03,2007,"['Art House & International', 'Horror', 'Mystery & Suspense']",60.0
them that follow,2019-08-02,2019,"['Drama', 'Mystery & Suspense']",45.0
then came you,2019-02-01,2019,"['Comedy', 'Romance']",76.0
then she found me,2007-09-07,2007,"['Comedy', 'Drama', 'Romance']",44.0
theory of flight,1998-12-23,1998,"['Comedy', 'Drama', 'Romance']",57.0
theory of obscurity a film about the residents,,,['Documentary'],52.0
there be dragons,2011-05-06,2011,['Drama'],54.0
there was a crooked man,1970-01-01,1970,"['Classics', 'Western']",74.0
there will be blood,2007-12-26,2007,['Drama'],86.0
theres no business like show business,1954-12-01,1954,"['Classics', 'Comedy', 'Drama', 'Musical & Performing Arts']",57.0
theres something about mary,1998-07-15,1998,['Comedy'],61.0
theres something in the water,,,['Documentary'],
therese,2013-08-23,2013,"['Art House & International', 'Drama']",37.0
these amazing shadows,2011-05-06,2011,"['Documentary', 'Television']",85.0
these birds walk,2013-11-01,2013,"['Documentary', 'Special Interest']",73.0
these final hours,2015-03-06,2015,['Art House & International'],64.0
these girls,2006-05-01,2006,"['Comedy', 'Drama']",45.0
thesis,1996-04-12,1996,"['Art House & International', 'Mystery & Suspense']",89.0
they call it myanmar lifting the curtain,2012-04-06,2012,"['Documentary', 'Special Interest']",72.0
they call me mister tibbs,1970-07-08,1970,"['Drama', 'Mystery & Suspense']",36.0
they came to cordura,1959-01-01,1959,"['Action & Adventure', 'Classics', 'Drama', 'Western']",50.0
they came together,2014-06-27,2014,['Comedy'],39.0
they died with their boots on,,,"['Classics', 'Drama', 'Western']",75.0
they got me covered,1943-03-04,1943,"['Classics', 'Comedy', 'Musical & Performing Arts']",82.0
they live,1988-11-04,1988,"['Comedy', 'Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",79.0
they might be giants,1971-06-09,1971,"['Comedy', 'Mystery & Suspense']",75.0
they remain,,,"['Drama', 'Mystery & Suspense']",31.0
they wait,2008-04-15,2008,"['Horror', 'Mystery & Suspense']",38.0
they were expendable,1945-12-20,1945,"['Classics', 'Drama']",73.0
they will have to kill us first,2016-03-04,2016,['Documentary'],61.0
theyll love me when im dead,2018-11-02,2018,['Documentary'],80.0
theyre inside,,,['Horror'],
theyre watching,2016-03-25,2016,"['Comedy', 'Horror']",35.0
thief of hearts,1984-10-19,1984,"['Drama', 'Mystery & Suspense']",51.0
thieves highway,1949-01-01,1949,"['Classics', 'Drama', 'Mystery & Suspense']",78.0
thin,2006-10-21,2006,"['Documentary', 'Special Interest']",84.0
thin blue line,1988-08-25,1988,"['Classics', 'Documentary', 'Special Interest']",90.0
convincer thin ice,2012-02-17,2012,"['Comedy', 'Drama']",51.0
thin line between love and hate,1996-04-03,1996,"['Comedy', 'Mystery & Suspense']",77.0
thin man,1934-05-23,1934,"['Classics', 'Comedy', 'Mystery & Suspense']",93.0
thing about my folks,2005-09-16,2005,['Comedy'],52.0
thing called love,1993-07-16,1993,"['Comedy', 'Drama', 'Musical & Performing Arts', 'Romance']",70.0
things to do,,,"['Art House & International', 'Comedy', 'Drama']",68.0
things behind the sun,2001-01-19,2001,"['Art House & International', 'Drama']",79.0
things change,1988-10-21,1988,"['Comedy', 'Drama']",79.0
things never said,2013-09-06,2013,['Drama'],82.0
things to come,1936-05-02,1936,"['Action & Adventure', 'Art House & International', 'Classics', 'Science Fiction & Fantasy']",54.0
things to come lavenir,2016-12-02,2016,"['Art House & International', 'Drama']",70.0
things to do in denver when youre dead,1995-12-01,1995,"['Comedy', 'Drama', 'Mystery & Suspense', 'Sports & Fitness']",72.0
things we lost in the fire,2007-10-19,2007,['Drama'],73.0
things you can tell just by looking at her,2000-01-01,2000,"['Comedy', 'Drama']",64.0
think like a dog,,,"['Comedy', 'Drama', 'Kids & Family']",52.0
think like a man,2012-04-20,2012,['Comedy'],79.0
think like a man too,2014-06-20,2014,"['Comedy', 'Romance']",59.0
stephen kings thinner,1996-10-25,1996,['Horror'],30.0
third person,2014-06-20,2014,"['Drama', 'Romance']",34.0
third wheel,2002-05-31,2002,"['Comedy', 'Drama', 'Romance']",31.0
third world cop,1999-06-01,1999,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",87.0
thirteen,2003-08-20,2003,['Drama'],77.0
thirteen women,1932-09-16,1932,"['Classics', 'Drama', 'Mystery & Suspense']",34.0
thirteen conversations about one thing,2001-09-01,2001,"['Art House & International', 'Comedy', 'Drama']",71.0
thirteen days,2000-12-25,2000,['Drama'],80.0
thirteen ghosts 13 ghosts,2001-10-23,2001,['Horror'],49.0
thirty two short films about glenn gould,1993-09-14,1993,"['Art House & International', 'Documentary', 'Drama', 'Musical & Performing Arts']",88.0
thirty seconds over tokyo,1944-01-01,1944,"['Action & Adventure', 'Classics', 'Drama']",75.0
36 quai des orfevres,2005-05-26,2005,"['Art House & International', 'Drama']",81.0
this beautiful city,2007-09-11,2007,"['Art House & International', 'Drama']",35.0
this aint no mouse music,2014-09-19,2014,['Documentary'],75.0
this beautiful fantastic,2017-03-10,2017,"['Comedy', 'Drama', 'Science Fiction & Fantasy']",75.0
this boys life,1993-01-01,1993,['Drama'],79.0
this changes everything,2015-10-02,2015,['Documentary'],47.0
this christmas,2007-11-21,2007,['Drama'],81.0
this divided state,2005-07-22,2005,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",84.0
this girls life,2004-12-03,2004,['Drama'],44.0
this is 40,2012-12-21,2012,['Comedy'],50.0
this is elvis,,,"['Documentary', 'Musical & Performing Arts']",85.0
this is england,2007-07-27,2007,"['Art House & International', 'Drama']",90.0
this is martin bonner,2013-08-14,2013,['Drama'],70.0
this is my life,1992-01-01,1992,"['Comedy', 'Drama']",49.0
this is not a film,2012-02-29,2012,"['Art House & International', 'Documentary', 'Special Interest']",69.0
this is not berlin,2019-08-09,2019,['Drama'],67.0
this is spinal tap,1984-03-02,1984,['Comedy'],92.0
this is the end,2013-06-12,2013,"['Action & Adventure', 'Comedy', 'Drama', 'Horror']",71.0
one direction this is us,2013-08-30,2013,"['Documentary', 'Musical & Performing Arts']",79.0
this is where i leave you,2014-09-19,2014,['Comedy'],59.0
this land is mine,1943-05-07,1943,"['Classics', 'Drama']",81.0
this means war,2012-02-14,2012,"['Action & Adventure', 'Comedy', 'Romance']",56.0
this must be the place,2012-11-02,2012,"['Comedy', 'Drama']",58.0
this old cub,2004-03-26,2004,"['Documentary', 'Musical & Performing Arts', 'Special Interest', 'Sports & Fitness']",85.0
this property is condemned,1966-08-03,1966,"['Classics', 'Drama', 'Romance']",77.0
this revolution,2006-01-24,2006,"['Drama', 'Mystery & Suspense']",70.0
this socalled disaster,2004-04-21,2004,"['Documentary', 'Musical & Performing Arts']",62.0
this sporting life,1963-07-16,1963,"['Classics', 'Drama']",87.0
this teacher,,,['Drama'],
this thing of ours,2003-07-18,2003,['Drama'],27.0
thoda pyaar thoda magic,2008-06-27,2008,"['Art House & International', 'Drama', 'Romance']",52.0
thomas and the magic railroad,2000-07-26,2000,"['Kids & Family', 'Musical & Performing Arts']",42.0
thomas crown affair,1968-09-19,1968,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense', 'Romance']",74.0
thomas crown affair,1999-08-06,1999,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Romance']",77.0
thor,2011-05-06,2011,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",76.0
thor ragnarok,2017-11-03,2017,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",87.0
thor the dark world,2013-11-08,2013,"['Action & Adventure', 'Science Fiction & Fantasy']",76.0
thoroughbreds,2018-03-09,2018,"['Drama', 'Mystery & Suspense']",67.0
those magnificent men in their flying machines,1965-01-01,1965,"['Action & Adventure', 'Art House & International', 'Classics', 'Comedy']",75.0
those people,2016-05-06,2016,"['Drama', 'Romance']",56.0
three and out,2008-04-25,2008,['Comedy'],40.0
three billboards outside ebbing missouri,2017-12-01,2017,"['Comedy', 'Drama']",87.0
three burials of melquiades estrada,2006-02-03,2006,"['Drama', 'Western']",81.0
three came home,1950-02-20,1950,"['Action & Adventure', 'Classics', 'Drama']",72.0
three christs,2020-01-10,2020,['Drama'],69.0
three coins in the fountain,1954-06-02,1954,"['Classics', 'Comedy', 'Drama', 'Romance']",43.0
three colors blue trois couleurs bleu,1993-12-05,1993,"['Art House & International', 'Drama', 'Mystery & Suspense', 'Romance']",93.0
three colors white trois couleurs blanc,1994-06-10,1994,"['Art House & International', 'Comedy', 'Drama']",87.0
three days of the condor,1975-09-24,1975,"['Classics', 'Drama', 'Mystery & Suspense', 'Romance']",83.0
three faces of eve,1957-09-23,1957,"['Classics', 'Drama']",77.0
three fugitives,1989-01-27,1989,"['Action & Adventure', 'Comedy']",50.0
three godfathers,1948-12-01,1948,"['Classics', 'Drama', 'Western']",78.0
three identical strangers,2018-06-29,2018,['Documentary'],88.0
three kings,1999-10-01,1999,"['Action & Adventure', 'Comedy']",77.0
three men and a baby 3 men and a baby,1987-11-25,1987,['Comedy'],47.0
three men and a little lady,1990-11-21,1990,['Comedy'],43.0
three night stand,2015-01-16,2015,"['Comedy', 'Drama']",30.0
three oclock high,1987-10-09,1987,['Comedy'],73.0
three of hearts,1993-04-30,1993,"['Comedy', 'Drama', 'Romance']",35.0
three sisters,2013-05-10,2013,"['Art House & International', 'Documentary', 'Drama', 'Special Interest']",88.0
three smart girls,1936-12-20,1936,"['Classics', 'Comedy', 'Musical & Performing Arts']",50.0
torst thirst three strange loves,1949-10-17,1949,"['Art House & International', 'Drama']",52.0
three times zui hao de shi guang,2005-05-20,2005,"['Art House & International', 'Drama', 'Romance']",71.0
three to tango,1999-10-22,1999,"['Comedy', 'Drama', 'Romance']",48.0
three wishes,1995-11-03,1995,"['Comedy', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy', 'Television']",52.0
three worlds,2013-06-21,2013,"['Art House & International', 'Drama']",46.0
3 worlds of gulliver,1960-12-01,1960,"['Action & Adventure', 'Animation', 'Kids & Family', 'Science Fiction & Fantasy']",54.0
threeextremes saam gaang yi,2005-10-28,2005,"['Art House & International', 'Horror']",77.0
threesome,1994-04-08,1994,"['Comedy', 'Drama', 'Romance']",56.0
thriller,,,"['Horror', 'Mystery & Suspense']",15.0
throne of blood,1957-01-01,1957,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']",94.0
through a lens darkly black photographers and the emergence of a people,2014-08-27,2014,"['Documentary', 'Special Interest']",73.0
throw momma from the train,1987-12-11,1987,['Comedy'],54.0
throw of dice,1930-01-04,1930,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']",47.0
thumbsucker,2005-09-16,2005,"['Art House & International', 'Comedy', 'Drama']",71.0
thunder and the house of magic,2014-09-05,2014,"['Action & Adventure', 'Animation', 'Art House & International', 'Kids & Family']",54.0
thunder road,2018-10-19,2018,"['Comedy', 'Drama']",93.0
thunder soul,2011-09-23,2011,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",86.0
thunderball,1965-12-20,1965,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']",73.0
thunderbirds,2004-07-24,2004,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",36.0
thunderbirds are go,1966-12-15,1966,"['Kids & Family', 'Science Fiction & Fantasy', 'Television']",57.0
thunderbolt and lightfoot,1974-09-02,1974,"['Action & Adventure', 'Comedy', 'Western']",73.0
thunderheart,1992-04-01,1992,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",75.0
thunderstruck,2012-08-24,2012,"['Comedy', 'Kids & Family']",70.0
thursday,1998-11-13,1998,"['Action & Adventure', 'Mystery & Suspense']",81.0
thx 1138,1971-03-11,1971,"['Drama', 'Science Fiction & Fantasy']",74.0
tickedoff trannies with knives,2010-10-20,2010,"['Drama', 'Mystery & Suspense', 'Gay & Lesbian']",46.0
tideland,2006-10-13,2006,"['Drama', 'Science Fiction & Fantasy']",64.0
atame tie me up tie me down,1990-01-22,1990,"['Art House & International', 'Comedy', 'Drama', 'Romance']",79.0
tig notaro happy to be here,,,['Comedy'],71.0
tigre e la neve the tiger and the snow,2006-12-29,2006,"['Art House & International', 'Comedy', 'Drama', 'Romance']",84.0
tiger bay,1959-12-14,1959,"['Classics', 'Drama', 'Mystery & Suspense']",84.0
tiger eyes,2013-06-07,2013,['Drama'],53.0
tiger orange,,,['Drama'],45.0
tigerland,2000-10-06,2000,"['Action & Adventure', 'Drama']",71.0
tigertail,,,['Drama'],67.0
tightrope,1984-08-17,1984,"['Drama', 'Mystery & Suspense']",50.0
tijuana jackson purpose over prison,2020-07-24,2020,['Comedy'],100.0
tikkun,2016-06-10,2016,"['Art House & International', 'Drama', 'Mystery & Suspense']",46.0
till human voices wake us,2003-02-21,2003,"['Art House & International', 'Drama', 'Mystery & Suspense']",66.0
till the clouds roll by,1947-01-01,1947,"['Classics', 'Documentary', 'Musical & Performing Arts']",49.0
tim and erics billion dollar movie,2012-03-02,2012,['Comedy'],47.0
timber falls,2007-12-07,2007,"['Horror', 'Mystery & Suspense']",28.0
timbuktu,2015-01-28,2015,"['Art House & International', 'Drama']",77.0
time after time,1979-08-31,1979,"['Action & Adventure', 'Comedy', 'Drama', 'Science Fiction & Fantasy', 'Romance']",72.0
time bandits,1981-11-06,1981,"['Action & Adventure', 'Science Fiction & Fantasy']",77.0
time changer,2002-10-25,2002,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Faith & Spirituality']",86.0
cronocrimenes timecrimes,2007-09-20,2007,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense', 'Science Fiction & Fantasy']",79.0
zamani baraye masti asbha a time for drunken horsesintoxication for horses,2000-10-27,2000,"['Art House & International', 'Drama']",
time for ilhan,,,['Documentary'],42.0
time lapse,2015-05-15,2015,"['Mystery & Suspense', 'Science Fiction & Fantasy']",64.0
time of the wolf,2004-07-02,2004,"['Art House & International', 'Drama']",65.0
time out of mind,2015-09-11,2015,['Drama'],42.0
time regained,1999-01-01,1999,"['Art House & International', 'Drama']",72.0
time share tiempo compartido,,,['Drama'],50.0
time that remains,2011-01-07,2011,"['Art House & International', 'Comedy', 'Drama']",68.0
time trap,2018-11-02,2018,"['Action & Adventure', 'Science Fiction & Fantasy']",65.0
time travelers wife,2009-08-14,2009,"['Drama', 'Science Fiction & Fantasy', 'Romance']",59.0
timecode,2000-04-28,2000,"['Comedy', 'Drama']",49.0
timecop,1994-09-16,1994,"['Action & Adventure', 'Science Fiction & Fantasy']",36.0
timeline,2003-11-26,2003,"['Action & Adventure', 'Science Fiction & Fantasy']",45.0
tims vermeer,2014-01-31,2014,"['Documentary', 'Drama', 'Special Interest']",86.0
tin cup,1996-08-16,1996,"['Comedy', 'Drama', 'Romance']",65.0
tin men,1987-03-06,1987,['Comedy'],63.0
tin star,1957-01-01,1957,"['Classics', 'Drama', 'Western']",72.0
tingler,1959-07-29,1959,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",66.0
tinker bell,2008-10-28,2008,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",73.0
tinker bell and the great fairy rescue,2010-09-21,2010,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",76.0
tinker bell and the lost treasure,2009-10-16,2009,"['Animation', 'Kids & Family']",73.0
tinker tailor soldier spy,2011-12-09,2011,"['Drama', 'Mystery & Suspense']",65.0
tinkerbell and the legend of the neverbeast,,,"['Action & Adventure', 'Animation', 'Kids & Family']",76.0
tiny furniture,2010-11-12,2010,['Comedy'],54.0
tio papi,2013-09-06,2013,"['Comedy', 'Drama', 'Kids & Family']",39.0
tip top,2014-12-12,2014,"['Comedy', 'Mystery & Suspense']",22.0
tiptoes,2004-08-03,2004,"['Art House & International', 'Comedy', 'Drama']",22.0
titan ae,2000-06-16,2000,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",60.0
titanic,1997-12-19,1997,"['Drama', 'Romance']",69.0
titanica,1995-04-01,1995,"['Documentary', 'Special Interest']",45.0
tmnt,2007-03-23,2007,"['Action & Adventure', 'Animation', 'Science Fiction & Fantasy']",60.0
to all the boys ive loved before,2018-08-17,2018,"['Drama', 'Romance']",86.0
to all the boys ps i still love you,,,"['Drama', 'Romance']",40.0
to be takei,2014-08-22,2014,"['Documentary', 'Special Interest']",75.0
to catch a thief,1955-08-04,1955,"['Classics', 'Mystery & Suspense', 'Romance']",84.0
to end all wars,2002-12-06,2002,['Drama'],85.0
to gillian on her 37th birthday,1996-10-18,1996,"['Comedy', 'Drama', 'Romance']",42.0
to have and have not,1944-10-11,1944,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense', 'Romance']",90.0
to kid or not to kid,2019-11-15,2019,['Documentary'],
to kill a mockingbird,1962-12-25,1962,"['Classics', 'Drama']",92.0
to kill a priest,1988-09-07,1988,"['Drama', 'Mystery & Suspense']",60.0
to rome with love,2012-06-22,2012,['Comedy'],40.0
to save a life,2010-01-22,2010,['Drama'],82.0
to sir with love,1967-06-14,1967,"['Classics', 'Drama']",88.0
to sleep with anger,1990-01-01,1990,['Drama'],78.0
to the arctic,2012-04-20,2012,['Documentary'],66.0
to the bone,2017-07-14,2017,['Drama'],64.0
to the devil a daughter,1976-01-01,1976,"['Art House & International', 'Cult Movies', 'Horror', 'Mystery & Suspense']",38.0
to the stars,,,['Drama'],77.0
to the wonder,2013-04-12,2013,"['Drama', 'Romance']",37.0
to wong foo thanks for everything julie newmar,1995-09-08,1995,['Comedy'],71.0
to your last death,,,"['Animation', 'Horror']",94.0
toad road,2013-10-25,2013,"['Drama', 'Horror', 'Mystery & Suspense']",49.0
toast,2011-10-07,2011,"['Comedy', 'Drama']",52.0
todays special,2010-11-19,2010,['Comedy'],72.0
todd glass act happy,,,['Comedy'],
together,2001-08-24,2001,"['Art House & International', 'Comedy', 'Drama']",89.0
rage,2014-07-11,2014,"['Action & Adventure', 'Mystery & Suspense']",28.0
tokyo decadence,1991-12-31,1991,"['Art House & International', 'Drama']",55.0
tokyo drifter,1966-04-10,1966,"['Action & Adventure', 'Art House & International', 'Drama']",80.0
tokyo godfathers,2003-08-30,2003,"['Animation', 'Art House & International', 'Comedy', 'Drama', 'Science Fiction & Fantasy']",91.0
tokyo zankoku keisatsu tokyo gore police,2008-05-29,2008,"['Action & Adventure', 'Art House & International', 'Horror']",61.0
tokyo sonata tokyo sonata,2009-03-13,2009,"['Art House & International', 'Drama']",80.0
tokyo story tokyo monogatari,1953-11-03,1953,"['Art House & International', 'Drama']",93.0
tokyo tribe,2015-10-23,2015,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",46.0
tolkien,2019-05-10,2019,['Drama'],71.0
tom and huck,,,"['Action & Adventure', 'Kids & Family']",42.0
tom and jerry the movie,1992-01-01,1992,"['Animation', 'Comedy', 'Kids & Family']",40.0
tom dowd and the language of music,2004-08-13,2004,"['Documentary', 'Musical & Performing Arts']",92.0
tom horn,1980-03-28,1980,"['Action & Adventure', 'Drama', 'Western', 'Romance']",69.0
tom jones,1963-01-01,1963,"['Action & Adventure', 'Classics', 'Comedy', 'Romance']",58.0
tom of finland,2017-10-13,2017,"['Art House & International', 'Drama']",70.0
tom segura disgraceful,,,['Comedy'],78.0
tom thumb,1958-12-22,1958,"['Classics', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",62.0
tomb raider,2018-03-16,2018,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",55.0
tomboy,2011-11-16,2011,"['Art House & International', 'Drama']",82.0
tombs of the blind dead noche del terror ciego,1972-09-29,1972,"['Art House & International', 'Classics', 'Horror']",58.0
tomcats,2001-03-30,2001,['Comedy'],42.0
tommaso,2020-06-05,2020,['Drama'],22.0
tommy boy,1995-03-31,1995,"['Comedy', 'Special Interest']",90.0
tommys honour,2017-04-14,2017,['Drama'],68.0
tomorrow ever after,2017-05-05,2017,"['Comedy', 'Science Fiction & Fantasy']",64.0
tomorrow never dies,1997-12-19,1997,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",53.0
tomorrow youre gone,2013-04-05,2013,"['Action & Adventure', 'Special Interest']",4.0
tomorrowland,2015-05-22,2015,['Science Fiction & Fantasy'],49.0
tonedeaf,2019-08-23,2019,"['Horror', 'Mystery & Suspense']",26.0
toni erdmann,2016-12-25,2016,"['Art House & International', 'Drama']",73.0
tonight youre mine,2012-05-11,2012,"['Comedy', 'Romance']",60.0
tony n tinas wedding,2007-12-05,2007,"['Comedy', 'Drama']",55.0
tony rome,1967-01-01,1967,"['Action & Adventure', 'Classics', 'Mystery & Suspense']",59.0
too big to fail,,,"['Drama', 'Television']",76.0
too late blues,1961-11-07,1961,"['Classics', 'Drama', 'Musical & Performing Arts']",72.0
too much sun,1991-06-01,1991,['Comedy'],31.0
toolbox murders,2004-01-01,2004,['Horror'],33.0
tooth and nail,2007-10-16,2007,"['Drama', 'Horror', 'Musical & Performing Arts', 'Mystery & Suspense', 'Science Fiction & Fantasy']",22.0
tooth fairy,2006-08-08,2006,['Horror'],34.0
tootsie,1982-12-01,1982,"['Comedy', 'Drama', 'Romance']",81.0
top cat begins don gato el inicio de la pandilla,2017-09-29,2017,"['Animation', 'Art House & International', 'Comedy', 'Kids & Family']",28.0
top end wedding,,,"['Comedy', 'Romance']",74.0
top five,2014-12-12,2014,['Comedy'],64.0
top gun,1986-05-16,1986,"['Action & Adventure', 'Drama']",83.0
top hat,1935-09-06,1935,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Romance']",91.0
topaz,1969-12-19,1969,"['Action & Adventure', 'Classics', 'Mystery & Suspense']",36.0
topkapi,,,"['Action & Adventure', 'Classics', 'Comedy', 'Drama', 'Mystery & Suspense']",67.0
topp twins untouchable girls,2011-05-13,2011,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",91.0
topper returns,1941-03-21,1941,"['Classics', 'Comedy', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Romance']",80.0
tora tora tora,1970-09-23,1970,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']",81.0
torn curtain,1966-07-16,1966,"['Classics', 'Mystery & Suspense']",53.0
tortilla soup,2001-08-24,2001,"['Comedy', 'Romance']",71.0
tortoise in love,,,"['Art House & International', 'Comedy']",37.0
toss it,,,"['Comedy', 'Drama', 'Romance']",
total eclipse,1995-11-03,1995,"['Art House & International', 'Drama']",61.0
total recall,1990-06-01,1990,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",78.0
total recall,2012-08-03,2012,"['Action & Adventure', 'Science Fiction & Fantasy']",47.0
touch the sound,2004-01-01,2004,"['Documentary', 'Drama', 'Musical & Performing Arts']",73.0
touch of class,1973-06-20,1973,"['Comedy', 'Romance']",64.0
touch of zen,1969-01-01,1969,"['Action & Adventure', 'Art House & International', 'Drama']",82.0
touchback,2012-04-13,2012,"['Drama', 'Science Fiction & Fantasy', 'Sports & Fitness']",63.0
touched with fire,2016-02-12,2016,['Drama'],89.0
touching wild horses,2002-10-18,2002,"['Art House & International', 'Drama']",71.0
touching the void,2004-01-23,2004,"['Documentary', 'Special Interest', 'Sports & Fitness']",92.0
touchy feely,2013-09-06,2013,['Drama'],22.0
tourist,2010-12-10,2010,"['Action & Adventure', 'Mystery & Suspense', 'Romance']",42.0
all the mornings of the world tous les matins du monde,1991-12-18,1991,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']",89.0
towards darkness,2007-04-28,2007,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",50.0
towelhead,2007-09-08,2007,['Drama'],58.0
tower,2016-10-12,2016,"['Animation', 'Documentary']",89.0
tower block,2012-09-21,2012,['Mystery & Suspense'],37.0
tower heist,2011-11-04,2011,"['Action & Adventure', 'Comedy', 'Drama']",48.0
towering inferno,1974-12-17,1974,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",72.0
town country,2000-09-01,2000,"['Comedy', 'Drama']",14.0
town that dreaded sundown,1976-12-24,1976,"['Drama', 'Horror', 'Mystery & Suspense']",41.0
toxic avenger,1984-04-11,1984,"['Comedy', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']",63.0
citizen toxie the toxic avenger iv,2000-01-01,2000,"['Comedy', 'Horror']",65.0
toxic beauty,,,['Documentary'],
toy,1982-12-10,1982,['Comedy'],53.0
toy story,1995-11-22,1995,"['Animation', 'Comedy', 'Kids & Family']",92.0
toy story 2,1999-11-24,1999,"['Animation', 'Comedy', 'Kids & Family']",86.0
toy story 3,2010-06-18,2010,"['Animation', 'Comedy', 'Kids & Family']",89.0
toy story 4,2019-06-21,2019,"['Animation', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",94.0
toy story of terror,2013-10-16,2013,"['Animation', 'Kids & Family']",84.0
toy story that time forgot,2014-12-02,2014,"['Action & Adventure', 'Animation']",82.0
toys,1992-12-18,1992,"['Action & Adventure', 'Comedy']",39.0
toys in the attic na pude,2012-09-07,2012,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",80.0
tracers,2015-03-20,2015,['Action & Adventure'],37.0
tracey ullman live and exposed,2005-12-31,2005,['Comedy'],
track 29,1988-10-01,1988,"['Comedy', 'Drama', 'Mystery & Suspense']",45.0
tracker,2011-08-23,2011,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']",53.0
tracks,,,['Drama'],
tracy morgan staying alive,,,['Comedy'],
trade of innocents,2012-10-05,2012,"['Drama', 'Mystery & Suspense']",54.0
traded,2016-06-10,2016,['Western'],31.0
trading mom,1994-05-13,1994,"['Comedy', 'Kids & Family']",56.0
trading paint,2019-03-22,2019,['Action & Adventure'],35.0
trading places,1983-06-01,1983,['Comedy'],84.0
traffic stop,,,['Documentary'],27.0
trafficked,2017-10-06,2017,"['Drama', 'Mystery & Suspense']",60.0
traffik,2018-04-20,2018,['Mystery & Suspense'],46.0
trafic traffic,1972-12-11,1972,"['Art House & International', 'Comedy']",77.0
trail of the pink panther,1982-12-17,1982,"['Action & Adventure', 'Comedy']",33.0
