title,release_date_meta,year,rating_metacritic
nebraska,2013-11-15,2013,86
shame,2011-12-02,2011,72
game night,2018-02-23,2018,66
chicken run,2000-06-21,2000,88
captain fantastic,2016-07-08,2016,72
unbroken,2014-12-25,2014,59
three kings,1999-10-01,1999,82
black hawk down,2001-12-28,2001,74
mummy tomb of the dragon emperor,2008-08-01,2008,31
focus,2015-02-27,2015,56
xxx return of xander cage,2017-01-20,2017,42
gone baby gone,2007-10-19,2007,72
fruitvale station,2013-07-12,2013,85
paddington 2,2018-01-12,2018,88
fences,2016-12-16,2016,79
inconvenient truth,2006-05-24,2006,75
darjeeling limited,2007-09-29,2007,67
savages,2012-07-06,2012,59
paranormal activity 4,2012-10-18,2012,40
election,1999-04-23,1999,83
drop,2014-09-12,2014,69
j edgar,2011-11-09,2011,59
sex tape,2014-07-18,2014,36
imaginarium of doctor parnassus,2009-12-25,2009,65
sing street,2016-04-15,2016,79
secret in their eyes,2010-04-16,2010,80
chronicles of narnia the voyage of the dawn treader,2010-12-10,2010,53
we need to talk about kevin,2011-12-09,2011,68
t2 trainspotting,2017-03-17,2017,67
young adult,2011-12-09,2011,71
circle,2017-04-28,2017,43
great beauty,2013-11-15,2013,86
capitalism a love story,2009-09-23,2009,61
book of life,2014-10-17,2014,67
hostel part ii,2007-06-08,2007,46
quarantine,2008-10-10,2008,53
boogeyman,2005-02-04,2005,32
adventures of sharkboy and lavagirl 3d,2005-06-10,2005,38
poltergeist,1982-06-04,1982,79
im not there,2007-11-21,2007,73
bless the child,2000-08-11,2000,17
badlands,1973-10-15,1973,93
mamma mia here we go again,2018-07-20,2018,60
man on wire,2008-07-25,2008,89
bad words,2014-03-14,2014,57
get rich or die tryin,2005-11-09,2005,45
man with the iron fists,2012-11-02,2012,51
secret window,2004-03-12,2004,46
arthur christmas,2011-11-23,2011,69
kingdom,2007-09-28,2007,56
hotel transylvania 3 summer vacation,2018-07-13,2018,54
act of killing,2013-07-19,2013,90
rover,2014-06-13,2014,64
notes on a scandal,2006-12-27,2006,73
fifty shades of black,2016-01-29,2016,28
loving,2016-11-04,2016,79
me and you and everyone we know,2005-06-17,2005,76
shin godzilla godzilla resurgence,2016-10-11,2016,67
last of the mohicans,1992-09-25,1992,76
way back,2011-01-21,2011,66
slow west,2015-05-15,2015,72
station agent,2003-10-03,2003,81
rust and bone,2012-11-23,2012,73
catfish,2010-09-17,2010,65
drinking buddies,2013-08-23,2013,71
climax,2019-03-01,2019,67
mustang,2015-11-20,2015,83
stuart little,1999-12-17,1999,61
scary stories to tell in the dark,2019-08-09,2019,61
daddy day camp,2007-08-08,2007,13
early man,2018-02-16,2018,68
shallow hal,2001-11-09,2001,48
roman holiday,1953-08-27,1953,78
little prince,2016-08-05,2016,70
girl in the spiders web,2018-11-09,2018,43
360,2012-08-03,2012,43
jeff who lives at home,2012-03-16,2012,60
bigger splash,2016-05-04,2016,74
charlies angels full throttle,2003-06-27,2003,48
gunman,2015-03-20,2015,39
roman j israel esq,2017-11-17,2017,58
four christmases,2008-11-26,2008,41
along came polly,2004-01-16,2004,44
nutcracker and the four realms,2018-11-02,2018,39
void,2017-04-07,2017,62
whole ten yards,2004-04-09,2004,24
at eternitys gate,2018-11-16,2018,76
war machine,2017-05-26,2017,56
core,2003-03-28,2003,48
professor marston the wonder women,2017-10-13,2017,68
i kill giants,2018-03-23,2018,74
looney tunes back in action,2003-11-14,2003,64
billy lynns long halftime walk,2016-11-11,2016,53
halloween iii season of the witch,1982-10-22,1982,50
tomcats,2001-03-30,2001,15
nowhere boy,2010-10-08,2010,67
ant bully,2006-07-28,2006,59
another year,2010-12-29,2010,80
chappaquiddick,2018-04-06,2018,67
simple plan,1998-12-11,1998,82
secret life of pets 2,2019-06-07,2019,55
stoploss,2008-03-28,2008,61
glass castle,2017-08-11,2017,56
che,2008-12-12,2008,64
song to song,2017-03-17,2017,54
overboard,2018-05-04,2018,42
tale of tales,2016-04-22,2016,72
prime,2005-10-28,2005,58
melinda and melinda,2005-03-18,2005,54
last emperor,1987-12-18,1987,76
stake land,2011-04-22,2011,66
kid who would be king,2019-01-25,2019,66
mississippi grind,2015-09-25,2015,77
mary poppins,1964-08-27,1964,88
mash,1970-01-25,1970,80
white boy rick,2018-09-14,2018,59
last chance harvey,2008-12-25,2008,57
walk in the woods,2015-09-02,2015,51
lucky,2017-09-29,2017,80
good lie,2014-10-03,2014,65
deadfall,2012-12-07,2012,52
crouching tiger hidden dragon sword of destiny,2016-02-26,2016,47
rosewater,2014-11-14,2014,67
dreamer inspired by a true story,2005-10-21,2005,59
sherlock gnomes,2018-03-23,2018,36
little hours,2017-06-30,2017,69
joshua,2007-07-06,2007,69
brigsby bear,2017-07-28,2017,68
private life,2018-10-05,2018,83
what maisie knew,2013-05-03,2013,74
night school,2018-09-28,2018,43
one more time with feeling,2016-09-08,2016,92
step up all in,2014-08-08,2014,45
no mans land,2001-12-07,2001,84
oslo august 31st,2012-05-25,2012,84
aferim,2016-01-22,2016,84
monsieur lazhar,2012-04-13,2012,82
tulip fever,2017-09-01,2017,38
death of mr lazarescu,2006-04-26,2006,86
our kind of traitor,2016-07-01,2016,57
hands of stone,2016-08-26,2016,54
tyler perrys boo 2 a madea halloween,2017-10-20,2017,17
peewees big holiday,2016-03-18,2016,63
blind,2015-09-04,2015,83
jaws the revenge,1987-07-17,1987,15
shadow,2019-05-03,2019,81
london boulevard,2011-11-11,2011,52
jungle book 2,2003-02-14,2003,38
comebacks,2007-10-19,2007,25
offside,2007-03-23,2007,85
kitchen,2019-08-09,2019,35
mesrine public enemy no 1,2010-09-03,2010,72
daddys little girls,2007-02-14,2007,49
to be and to have,2003-09-19,2003,87
rams,2016-02-03,2016,82
amanda knox,2016-09-30,2016,78
life of crime,2014-08-29,2014,60
hysteria,2012-05-18,2012,53
red riding trilogy,2009-03-03,2009,77
babies,2010-05-07,2010,63
dirty wars,2013-06-07,2013,76
like father like son,2014-01-17,2014,73
red road,2007-04-13,2007,73
caramel,2008-02-01,2008,70
boy a,2008-07-23,2008,75
swimming pool,2003-07-02,2003,70
hearts beat loud,2018-06-08,2018,65
cutie and the boxer,2013-08-16,2013,83
de palma,2016-06-10,2016,83
witches of eastwick,1987-06-12,1987,67
jack goes boating,2010-09-17,2010,64
must love dogs,2005-07-29,2005,46
nut job 2 nutty by nature,2017-08-11,2017,36
finding vivian maier,2014-03-28,2014,75
traffik,2018-04-20,2018,37
henry v,1989-11-08,1989,83
equity,2016-07-29,2016,68
la story,1991-02-08,1991,66
young beautiful,2014-04-25,2014,63
oss 117 cairo nest of spies,2008-05-09,2008,62
savage grace,2008-05-30,2008,51
taboo,2000-10-06,2000,75
starter for 10,2007-02-23,2007,69
film stars dont die in liverpool,2017-12-29,2017,65
code 46,2004-08-06,2004,57
riot club,2015-03-27,2015,54
stephen kings a good marriage,2014-10-03,2014,43
red army,2014-11-14,2014,83
last days of disco,1998-05-29,1998,76
kicking and screaming,1995-10-06,1995,75
desperately seeking susan,1985-04-12,1985,71
hamlet,2000-05-12,2000,70
farewell my queen,2012-07-13,2012,67
happy accidents,2001-08-24,2001,60
december boys,2007-09-14,2007,56
space station 76,2014-09-19,2014,49
manhattan night,2016-05-20,2016,44
good deeds,2012-02-24,2012,43
custody,2018-06-29,2018,83
imax hubble 3d,2010-03-19,2010,79
born into brothels calcuttas red light kids,2004-12-08,2004,78
yakuza apocalypse,2015-10-09,2015,62
breathe in,2014-03-28,2014,60
that sugar film,2015-07-31,2015,56
life animated,2016-07-01,2016,75
true crime,1999-03-19,1999,65
simon sez,1999-09-24,1999,16
when we were kings,1996-10-25,1996,83
eves bayou,1997-11-07,1997,78
waste land,2010-10-29,2010,78
tanna,2016-09-16,2016,75
clovehitch killer,2018-11-16,2018,59
escape from alcatraz,1979-06-22,1979,76
humpday,2009-07-10,2009,74
penguins,2019-04-17,2019,69
black 47,2018-09-28,2018,65
learning to drive,2015-08-21,2015,59
dinner game,1999-06-25,1999,73
jindabyne,2007-04-27,2007,65
heartbreaker,2010-09-10,2010,59
acod,2013-10-04,2013,50
son,2003-01-10,2003,86
iris,2015-04-29,2015,80
gandhi,1983-02-25,1983,79
patriot games,1992-06-05,1992,64
all saints,2017-08-25,2017,63
cured,2018-02-23,2018,57
harrisons flowers,2002-03-15,2002,49
hangman,2017-12-22,2017,31
rocco and his brothers rerelease,2002-07-05,2002,84
everlasting moments,2009-03-06,2009,80
into great silence,2007-02-28,2007,78
ohorten,2009-05-22,2009,78
client,1994-07-20,1994,65
beauty shop,2005-03-30,2005,53
divine secrets of the yaya sisterhood,2002-06-07,2002,48
nobodys fool,2018-11-02,2018,39
together,2001-08-24,2001,84
time out of mind,2015-09-09,2015,75
aliens of the deep,2005-01-28,2005,71
eclipse,2010-03-26,2010,67
dark horse,2012-06-08,2012,66
bless me ultima,2013-02-22,2013,65
we have a pope,2012-04-06,2012,64
chinese puzzle,2014-05-16,2014,64
life,2015-12-04,2015,59
people vs george lucas,2011-05-06,2011,55
eat that question frank zappa in his own words,2016-06-24,2016,74
cookies fortune,1999-04-02,1999,70
land ho,2014-07-11,2014,68
kabluey,2008-07-04,2008,62
good dick,2008-10-10,2008,54
valentin,2004-05-07,2004,52
happiest day in the life of olli maki,2017-04-21,2017,83
rivers and tides andy goldsworthy working with time,2002-01-02,2002,82
stranded ive come from a plane that crashed on the mountains,2008-10-22,2008,82
gilles wife,2005-11-16,2005,82
disgrace,2009-09-18,2009,71
fallen,2006-03-08,2006,62
harvard beats yale 2929,2008-11-19,2008,79
standard operating procedure,2008-04-25,2008,70
tears of the black tiger,2007-01-12,2007,69
returned,2014-02-14,2014,47
jeruzalem,2016-01-22,2016,45
blue angel rerelease,2001-07-13,2001,88
open hearts,2003-02-21,2003,77
bobby fischer against the world,2011-09-09,2011,76
in this world,2003-09-19,2003,75
peggy sue got married,1986-10-10,1986,74
ivory game,2016-11-04,2016,73
honeydripper,2007-12-28,2007,68
looking for comedy in the muslim world,2006-01-20,2006,53
loss of a teardrop diamond,2009-12-30,2009,51
kettle of fish,2006-10-06,2006,38
honeyland,2019-07-26,2019,86
hilary and jackie,1998-12-30,1998,78
touch the sound a sound journey with evelyn glennie,2005-09-07,2005,75
in bloom,2014-01-10,2014,72
other son,2012-10-26,2012,63
names of love,2011-06-24,2011,62
truth about charlie,2002-10-25,2002,55
love divided,2001-06-01,2001,52
not forgotten,2009-09-11,2009,48
broken horses,2015-04-10,2015,32
to live and die in la,1985-11-01,1985,81
father of my children,2010-05-28,2010,76
unreasonable man,2007-01-31,2007,75
retrieval,2014-04-02,2014,75
deserted station,2004-12-03,2004,75
reanimator,1985-10-18,1985,73
diplomacy,2014-10-15,2014,72
dig two graves,2017-03-24,2017,67
life above all,2011-07-15,2011,65
robber,2011-04-29,2011,65
protocols of zion,2005-10-21,2005,60
strange ones,2018-01-05,2018,57
proxy,2014-04-18,2014,57
coco chanel igor stravinsky,2010-06-11,2010,56
bloodsucking bastards,2015-09-04,2015,50
road hard,2015-03-06,2015,50
1945,2017-11-01,2017,73
our brand is crisis,2006-03-01,2006,71
deadline,2004-06-04,2004,71
kings choice,2017-09-22,2017,64
concussion,2013-10-04,2013,56
plastic,2014-09-26,2014,32
killer,1990-09-01,1990,82
pearl button,2015-10-23,2015,80
my joy,2011-09-30,2011,78
police story 1985,2018-03-09,2018,78
fifi howls from happiness,2014-08-08,2014,76
brian banks,2019-08-09,2019,58
berlin file,2013-02-15,2013,54
mad as hell,2015-02-06,2015,52
give me liberty,2019-08-23,2019,84
sapienza,2015-03-20,2015,74
tehran taboo,2018-02-14,2018,74
big picture,2012-10-12,2012,71
towering inferno,1974-12-17,1974,69
what our fathers did a nazi legacy,2015-11-06,2015,69
china hustle,2018-03-30,2018,67
american me,1992-03-13,1992,66
whale,2011-09-23,2011,64
futuro beach,2015-02-27,2015,64
beneath the harvest sky,2014-05-02,2014,62
prince of broadway,2010-09-03,2010,57
little help,2011-07-22,2011,54
pusher 2012,2012-10-26,2012,52
murder of a cat,2014-12-05,2014,31
dark knight,2008-07-18,2008,84
django unchained,2012-12-25,2012,81
birdman or the unexpected virtue of ignorance,2014-10-17,2014,87
harry potter and the deathly hallows part 2,2011-07-15,2011,87
star trek into darkness,2013-05-15,2013,72
casino royale,2006-11-17,2006,80
forrest gump,1994-07-06,1994,82
world war z,2013-06-21,2013,63
silver linings playbook,2012-11-16,2012,81
toy story,1995-11-22,1995,95
hangover,2009-06-05,2009,73
big hero 6,2014-11-07,2014,74
last airbender,2010-07-01,2010,20
500 days of summer,2009-07-17,2009,76
kings speech,2010-11-26,2010,88
alice in wonderland,2010-03-05,2010,53
quantum of solace,2008-11-14,2008,58
despicable me,2010-07-09,2010,72
fantastic beasts the crimes of grindelwald,2018-11-16,2018,52
bridge of spies,2015-10-16,2015,81
chronicle,2012-02-03,2012,69
pride prejudice,2005-11-11,2005,82
let the right one in,2008-10-24,2008,82
charlie and the chocolate factory,2005-07-15,2005,72
tomorrowland,2015-05-22,2015,60
bumblebee,2018-12-21,2018,66
fault in our stars,2014-06-06,2014,69
neighbors,2014-05-09,2014,68
spring breakers,2013-03-15,2013,63
side effects,2013-02-08,2013,75
ralph breaks the internet,2018-11-21,2018,71
michael clayton,2007-10-05,2007,82
war horse,2011-12-25,2011,72
cast away,2000-12-22,2000,73
wind river,2017-08-04,2017,73
mud,2013-04-26,2013,76
epic movie,2007-01-26,2007,17
gangs of new york,2002-12-20,2002,72
rocketman,2019-05-31,2019,69
alien resurrection,1997-11-26,1997,63
heat,2013-06-28,2013,60
karate kid,2010-06-11,2010,61
paranormal activity 2,2010-10-22,2010,53
wallace gromit the curse of the wererabbit,2005-10-05,2005,87
unfriended,2015-04-17,2015,59
who framed roger rabbit,1988-06-21,1988,83
annabelle creation,2017-08-11,2017,62
crazy rich asians,2018-08-15,2018,74
psycho,1960-09-08,1960,97
hairspray,2007-07-20,2007,81
funny people,2009-07-31,2009,60
revolutionary road,2008-12-26,2008,69
bfg,2016-07-01,2016,66
piranha 3d,2010-08-20,2010,53
fahrenheit 911,2004-06-23,2004,67
single man,2009-12-11,2009,77
once upon a time in the west rerelease,2005-09-30,2005,80
13 assassins,2011-04-29,2011,84
chicken little,2005-11-04,2005,48
frances ha,2013-05-17,2013,82
blades of glory,2007-03-30,2007,64
thank you for smoking,2006-03-17,2006,71
good shepherd,2006-12-22,2006,61
deuce bigalow european gigolo,2005-08-12,2005,23
no strings attached,2011-01-21,2011,50
ghost world,2001-07-20,2001,88
thelma louise,1991-05-24,1991,88
hereafter,2010-10-15,2010,56
bronson,2009-10-09,2009,71
killer joe,2012-07-27,2012,62
nymphomaniac volume ii,2014-04-04,2014,60
sisters,2015-12-18,2015,58
robin hood,2018-11-21,2018,32
point break,2015-12-25,2015,34
patriot,2000-06-28,2000,63
austin powers in goldmember,2002-07-26,2002,62
get shorty,1995-10-25,1995,82
fish called wanda,1988-07-29,1988,80
guard,2011-07-29,2011,78
wolf creek,2005-12-25,2005,54
martha marcy may marlene,2011-10-21,2011,75
walk hard the dewey cox story,2007-12-21,2007,63
animal kingdom,2010-08-13,2010,83
miss sloane,2016-11-25,2016,64
night before,2015-11-20,2015,58
twister,1996-05-10,1996,68
blumhouses truth or dare,2018-04-13,2018,35
dogtooth,2010-06-25,2010,73
happy death day 2u,2019-02-14,2019,57
insidious the last key,2018-01-05,2018,49
second mother,2015-08-28,2015,82
lust caution,2007-09-28,2007,61
like crazy,2011-10-28,2011,68
cosmopolis,2012-08-17,2012,58
loveless,2017-12-01,2017,86
w,2008-10-17,2008,56
boss,2016-04-08,2016,40
silent voice,2017-10-20,2017,78
babe,1995-08-04,1995,83
broken city,2013-01-18,2013,49
curse of the golden flower,2006-12-21,2006,70
alexander and the terrible horrible no good very bad day,2014-10-10,2014,54
appaloosa,2008-09-19,2008,64
rough night,2017-06-16,2017,51
fog,2005-10-14,2005,27
grandmaster,2013-08-23,2013,73
curse of la llorona,2019-04-19,2019,41
heartbreak kid,2007-10-05,2007,46
because i said so,2007-02-02,2007,26
kurt cobain montage of heck,2015-04-24,2015,83
we were soldiers,2002-03-01,2002,65
we are your friends,2015-08-28,2015,46
margot at the wedding,2007-11-16,2007,66
man who wasnt there,2001-10-31,2001,73
from up on poppy hill,2013-03-15,2013,71
vox lux,2018-12-07,2018,67
bye bye man,2017-01-13,2017,37
kirk camerons saving christmas,2014-11-14,2014,18
byzantium,2013-06-28,2013,66
lady vengeance,2006-04-28,2006,75
lost souls,2000-10-13,2000,16
to do list,2013-07-26,2013,61
worlds greatest dad,2009-08-21,2009,69
adrift,2018-06-01,2018,56
last temptation of christ,1988-08-12,1988,80
apollo 11,2019-03-01,2019,88
night watch nochnoi dozor,2006-02-17,2006,58
all eyez on me,2017-06-16,2017,38
they shall not grow old,2018-12-17,2018,91
promised land,2012-12-28,2012,55
smiley,2012-10-12,2012,25
black sea,2015-01-23,2015,62
breaking the waves,1996-11-13,1996,76
last kiss,2006-09-15,2006,57
dolphin tale,2011-09-23,2011,64
days of thunder,1990-06-27,1990,60
jane got a gun,2016-01-29,2016,49
albert nobbs,2011-12-21,2011,57
night moves,2014-05-30,2014,75
anon,2018-05-04,2018,54
cop car,2015-08-07,2015,66
dragged across concrete,2019-03-22,2019,60
free willy,1993-07-16,1993,79
mary and the witchs flower,2018-01-19,2018,75
water horse,2007-12-25,2007,71
stalingrad,2014-02-28,2014,49
krisha,2016-03-18,2016,86
sleeping with other people,2015-09-11,2015,64
blinded by the light,2019-08-16,2019,71
osmosis jones,2001-08-10,2001,57
yours mine and ours,2005-11-23,2005,38
furry vengeance,2010-04-30,2010,23
short cuts,1993-10-03,1993,79
beirut,2018-04-11,2018,69
8 heads in a duffel bag,1997-04-18,1997,15
brads status,2017-09-15,2017,71
hercules,1997-06-27,1997,74
powerpuff girls,2002-07-03,2002,65
recruit,2003-01-31,2003,56
player,1992-04-03,1992,86
indignation,2016-07-29,2016,78
somethings gotta give,2003-12-12,2003,66
missing link,2019-04-12,2019,68
generals daughter,1999-06-18,1999,47
kidnap,2017-08-04,2017,44
bleed for this,2016-11-18,2016,62
elvis nixon,2016-04-22,2016,59
u571,2000-04-21,2000,62
winged migration,2003-04-18,2003,82
birdcage,1996-03-08,1996,72
alex rider operation stormbreaker,2006-10-13,2006,42
grapes of wrath,1940-03-15,1940,96
network,1976-11-14,1976,83
between two ferns the movie,2019-09-20,2019,59
center stage,2000-05-12,2000,52
rage,2014-07-11,2014,28
minding the gap,2018-08-17,2018,90
vera drake,2004-10-10,2004,83
sound city,2013-01-31,2013,76
black sheep,2007-06-22,2007,62
deliver us from evil,2006-10-13,2006,86
encounters at the end of the world,2008-06-11,2008,80
son of rambow,2008-05-02,2008,66
mirai,2018-11-30,2018,81
venus in fur,2014-06-20,2014,69
beyond skyline,2017-12-15,2017,46
wild parrots of telegraph hill,2005-02-11,2005,80
coco before chanel,2009-09-25,2009,65
barely lethal,2015-05-29,2015,44
bloody sunday,2002-10-04,2002,90
tracks,2014-09-19,2014,78
dolphin tale 2,2014-09-12,2014,58
touching the void,2004-01-23,2004,82
yellow sea,2011-12-02,2011,70
river runs through it,1992-10-09,1992,68
better luck tomorrow,2003-04-11,2003,67
war,2016-02-12,2016,81
thunderball,1965-12-22,1965,64
tyler perrys the single moms club,2014-03-14,2014,31
howards end,1992-03-13,1992,89
how to survive a plague,2012-09-21,2012,86
csa the confederate states of america,2006-02-15,2006,62
young frankenstein,1974-12-15,1974,80
like someone in love,2013-02-15,2013,76
particle fever,2014-03-05,2014,87
forbidden lie,2009-04-03,2009,85
nothing but the truth,2008-12-17,2008,64
action point,2018-06-01,2018,36
quinceanera,2006-08-04,2006,72
uncle drew,2018-06-29,2018,57
bodied,2018-11-02,2018,75
terri,2011-07-01,2011,72
factotum,2006-08-18,2006,71
selfish giant,2013-12-20,2013,83
sleep tight,2012-10-26,2012,70
boy who harnessed the wind,2019-03-01,2019,68
borg vs mcenroe,2018-04-13,2018,63
you only live twice,1967-06-13,1967,61
big night,1996-09-20,1996,80
little fish,2006-02-24,2006,77
higher ground,2011-08-26,2011,74
woman,2011-10-14,2011,58
best years of our lives,1946-12-25,1946,92
like father,2018-08-03,2018,52
son of no one,2011-11-04,2011,36
sweet land,2006-10-18,2006,75
invisible war,2012-06-22,2012,75
boy,2012-03-02,2012,70
beneath the planet of the apes,1970-05-26,1970,46
rob the mob,2014-03-21,2014,63
dominion prequel to the exorcist,2005-05-20,2005,55
alps,2012-07-13,2012,69
sisterhood of the traveling pants 2,2008-08-06,2008,63
it happened one night,1934-02-22,1934,87
rosetta,1999-11-05,1999,76
seagull,2018-05-11,2018,58
vanity fair,2004-09-01,2004,53
kung fu yoga,2017-01-27,2017,50
44 inch chest,2010-01-15,2010,47
beats rhymes life the travels of a tribe called quest,2011-07-08,2011,76
simon killer,2013-04-05,2013,63
down a dark hall,2018-08-17,2018,56
thunder and the house of magic,2014-09-05,2014,47
marwencol,2010-10-08,2010,82
nanking,2007-12-12,2007,76
countdown to zero,2010-07-23,2010,70
interview,2007-07-13,2007,64
abcs of death 2,2014-10-31,2014,53
gods pocket,2014-05-09,2014,51
henrys crime,2011-04-08,2011,49
harmontown,2014-10-03,2014,61
shadow dancer,2013-05-31,2013,71
potiche,2011-03-25,2011,68
michael,2012-02-15,2012,64
diablo,2016-01-08,2016,35
sleepover,2004-07-09,2004,33
stonewall,2015-09-25,2015,30
kingdom of dreams and madness,2014-11-28,2014,75
teachers pet,2004-01-16,2004,74
post tenebras lux,2013-05-01,2013,69
so close,2003-09-12,2003,66
ill sleep when im dead,2004-06-18,2004,56
family weekend,2013-03-29,2013,35
deliverance,1972-07-21,1972,82
kandahar,2001-12-14,2001,76
travelers and magicians,2005-01-28,2005,71
moustache,2006-05-24,2006,71
return of the living dead,1985-08-16,1985,66
birders guide to everything,2014-03-21,2014,61
cake eaters,2009-03-13,2009,60
adult beginners,2015-04-24,2015,57
fireworks,2018-07-03,2018,40
mea maxima culpa silence in the house of god,2012-11-16,2012,73
internets own boy the story of aaron swartz,2014-06-27,2014,72
arachnophobia,1990-07-18,1990,67
paper clips,2004-11-24,2004,64
tumbledown,2016-02-05,2016,60
hole,2012-09-28,2012,57
dare,2009-11-13,2009,54
gleason,2016-07-29,2016,80
bukowski born into this,2004-05-28,2004,77
eagle huntress,2016-11-02,2016,72
waking sleeping beauty,2010-03-26,2010,70
our souls at night,2017-09-29,2017,69
once in a lifetime the extraordinary story of the new york cosmos,2006-07-07,2006,67
plus one,2019-06-14,2019,66
woodshock,2017-09-22,2017,39
drive hard,2014-10-03,2014,29
showbusiness the road to broadway,2007-05-11,2007,73
crime after crime,2011-07-01,2011,72
unexpected,2015-07-24,2015,65
mean dreams,2017-03-17,2017,64
ps,2004-10-15,2004,55
welcome to leith,2015-09-09,2015,78
livein maid,2007-07-18,2007,78
lu over the wall,2018-05-11,2018,62
orwell rolls in his grave,2004-07-23,2004,49
black nativity,2013-11-27,2013,48
unbroken path to redemption,2018-09-14,2018,39
betrayal nerakhoon,2008-11-21,2008,78
hidden blade,2006-06-23,2006,76
mad detective,2008-07-18,2008,68
valet,2007-04-20,2007,68
oscar and lucinda,1997-12-31,1997,66
something from nothing the art of rap,2012-06-15,2012,66
my best friend,2007-07-13,2007,65
dirties,2013-10-04,2013,65
that man peter berlin,2006-01-13,2006,64
solo con tu pareja,2006-09-20,2006,61
what would jesus buy,2007-11-16,2007,60
love punch,2014-05-23,2014,44
brand upon the brain,2007-05-09,2007,79
sharkwater extinction,2019-03-01,2019,76
golden exits,2018-02-09,2018,71
dandelion,2005-10-07,2005,62
7 chinese brothers,2015-08-28,2015,56
nomad,2007-03-16,2007,49
bravetown,2015-05-08,2015,36
lorenzos oil,1992-12-30,1992,80
mr death the rise and fall of fred a leuchter jr,1999-12-29,1999,78
keep the change,2018-03-16,2018,73
all about nina,2018-09-28,2018,70
american woman,2019-06-14,2019,67
juice,1992-01-17,1992,60
command,2019-06-21,2019,55
ticket,2017-04-07,2017,52
ride,2015-05-01,2015,48
one child nation,2019-08-09,2019,85
step,2017-08-04,2017,81
deceptive practices the mysteries and mentors of ricky jay,2013-04-17,2013,79
science fair,2018-09-14,2018,79
crude,2009-09-09,2009,75
meeting gorbachev,2019-05-03,2019,73
abc africa,2002-05-03,2002,73
deep blue,2005-06-03,2005,71
leap year,2011-06-24,2011,71
chasing trane the john coltrane documentary,2017-04-14,2017,69
amour fou,2015-03-18,2015,69
carol channing larger than life,2012-01-20,2012,67
sleeping dogs lie,2006-10-20,2006,63
he liu,2001-07-27,2001,55
oyster farmer,2005-07-29,2005,51
pervert park,2016-05-20,2016,80
escape,2018-05-11,2018,75
when the road bends tales of a gypsy caravan,2007-06-15,2007,73
burn country,2016-12-09,2016,60
happy happy,2011-09-16,2011,60
go for zucker,2006-01-20,2006,60
outlaws and angels,2016-07-15,2016,40
dark knight rises,2012-07-20,2012,78
mad max fury road,2015-05-15,2015,90
thor ragnarok,2017-11-03,2017,74
amazing spiderman,2012-07-03,2012,66
skyfall,2012-11-09,2012,81
revenant,2015-12-25,2015,76
her,2013-12-18,2013,90
drive,2011-09-16,2011,78
brokeback mountain,2005-12-09,2005,87
star is born,2018-10-05,2018,88
grand budapest hotel,2014-03-07,2014,88
drag me to hell,2009-05-29,2009,83
mission impossible rogue nation,2015-07-31,2015,75
shrek,2001-05-18,2001,84
finding dory,2016-06-17,2016,77
this is the end,2013-06-12,2013,67
mission impossible fallout,2018-07-27,2018,86
raiders of the lost ark,1981-06-12,1981,85
kong skull island,2017-03-10,2017,62
coraline,2009-02-06,2009,80
jupiter ascending,2015-02-06,2015,40
superbad,2007-08-17,2007,76
snow white and the huntsman,2012-06-01,2012,57
bridesmaids,2011-05-13,2011,75
trainspotting,1996-07-19,1996,83
corpse bride,2005-09-16,2005,83
twilight saga breaking dawn part 2,2012-11-16,2012,52
straight outta compton,2015-08-14,2015,72
28 days later,2003-06-27,2003,73
other guys,2010-08-06,2010,64
one flew over the cuckoos nest,1975-11-19,1975,83
predator,2018-09-14,2018,48
exodus gods and kings,2014-12-12,2014,52
haywire,2012-01-20,2012,67
bruno,2009-07-10,2009,54
eyes wide shut,1999-07-16,1999,68
before sunset,2004-07-02,2004,90
percy jackson the olympians the lightning thief,2010-02-12,2010,47
eragon,2006-12-15,2006,38
iron giant,1999-08-06,1999,85
locke,2014-04-25,2014,81
pacific rim uprising,2018-03-23,2018,44
friends with benefits,2011-07-22,2011,63
ides of march,2011-10-07,2011,67
beowulf,2007-11-16,2007,59
shallows,2016-06-24,2016,59
deepwater horizon,2016-09-30,2016,68
men in black international,2019-06-14,2019,38
happygolucky,2008-10-10,2008,84
youre next,2013-08-23,2013,66
mr nobody,2013-11-01,2013,63
american made,2017-09-29,2017,65
vice,2018-12-25,2018,61
what we do in the shadows,2015-02-13,2015,76
fifty shades darker,2017-02-10,2017,33
scanner darkly,2006-07-07,2006,73
nine,2009-12-18,2009,49
walk,2015-09-30,2015,70
wild,2014-12-03,2014,76
shaun the sheep movie,2015-08-05,2015,81
thin red line,1999-01-08,1999,78
neighbors 2 sorority rising,2016-05-20,2016,58
prophet,2010-02-26,2010,90
downfall,2005-02-18,2005,82
mollys game,2017-12-25,2017,71
killing of a sacred deer,2017-10-20,2017,73
purge election year,2016-07-01,2016,55
alien 3,1992-05-22,1992,59
good time,2017-08-11,2017,80
two days one night,2014-12-24,2014,89
mad max,1980-02-15,1980,73
creed ii,2018-11-21,2018,66
only lovers left alive,2014-04-11,2014,79
frank,2014-08-15,2014,75
petes dragon,2016-08-12,2016,71
eye,2008-02-01,2008,36
natural born killers,1994-08-26,1994,74
margin call,2011-10-21,2011,76
hush,2016-04-08,2016,67
dazed and confused,1993-09-24,1993,78
