title,release_year,genres,rating_imdb,rating_movielens,rating_metacritic,rating_rt_audience,count_ratings,imdb_norm,movielens_norm,metacritic_norm,rt_norm,num_available_ratings,superscore_mean,superscore_median
careful what you wish for,2015,['Thriller'],,1.5,32.0,61.0,3,,3.0,3.2,6.1,3,4.1000000000000005,3.2
child 44,2015,"['Drama', 'Mystery & Suspense']",6.4,,41.0,41.0,3,6.4,,4.1,4.1,3,4.866666666666666,4.1
chiraq,2015,"['Comedy', 'Drama']",,3.75,77.0,49.0,3,,7.5,7.7,4.9,3,6.7,7.5
cobbler,2015,"['Comedy', 'Drama', 'Fantasy']",,3.75,23.0,36.0,3,,7.5,2.3,3.6,3,4.466666666666667,3.6
cooties,2015,"['Comedy', 'Horror']",,3.5,49.0,37.0,3,,7.0,4.9,3.7,3,5.2,4.9
cop car,2015,"['Crime', 'Thriller']",,3.5,66.0,53.0,3,,7.0,6.6,5.3,3,6.3,6.6
d train,2015,['Comedy'],,2.0,55.0,23.0,3,,4.0,5.5,2.3,3,3.9333333333333336,4.0
danny collins,2015,"['Comedy', 'Drama']",,4.5,58.0,73.0,3,,9.0,5.8,7.3,3,7.366666666666667,7.3
dark places,2015,"['Drama', 'Mystery', 'Thriller']",,2.0,39.0,33.0,3,,4.0,3.9,3.3,3,3.733333333333333,3.9
deathgasm,2015,"['Comedy', 'Horror']",,5.0,65.0,66.0,3,,10.0,6.5,6.6,3,7.7,6.6
dressmaker,2015,"['Comedy', 'Drama', 'Thriller']",,3.0,47.0,66.0,3,,6.0,4.7,6.6,3,5.766666666666666,6.0
end of the tour,2015,['Drama'],,4.0,82.0,81.0,3,,8.0,8.2,8.1,3,8.1,8.1
experimenter,2015,['Drama'],,4.5,81.0,61.0,3,,9.0,8.1,6.1,3,7.733333333333334,8.1
extraordinary tales,2015,"['Animation', 'Horror', 'Mystery']",,2.5,59.0,49.0,3,,5.0,5.9,4.9,3,5.266666666666667,5.0
face of an angel,2015,['Drama'],,1.5,37.0,10.0,3,,3.0,3.7,1.0,3,2.566666666666667,3.0
furious 7,2015,"['Action', 'Crime', 'Thriller']",,2.75,67.0,82.0,3,,5.5,6.7,8.2,3,6.8,6.7
gallows,2015,"['Horror', 'Thriller']",,1.5,30.0,22.0,3,,3.0,3.0,2.2,3,2.733333333333333,3.0
going clear scientology and the prison of belief,2015,['Documentary'],,4.25,80.0,90.0,3,,8.5,8.0,9.0,3,8.5,8.5
gunman,2015,"['Action', 'Thriller']",,4.0,39.0,31.0,3,,8.0,3.9,3.1,3,5.0,3.9
hitchcocktruffaut,2015,['Documentary'],,3.5,79.0,76.0,3,,7.0,7.9,7.6,3,7.5,7.6
hot tub time machine 2,2015,"['Comedy', 'Sci-Fi']",,2.88,29.0,26.0,3,,5.76,2.9,2.6,3,3.7533333333333334,2.9
how to change the world,2015,['Documentary'],,4.5,77.0,87.0,3,,9.0,7.7,8.7,3,8.466666666666667,8.7
insurgent,2015,"['Action', 'Sci-Fi', 'Thriller']",6.2,2.83,,58.0,3,6.2,5.66,,5.8,3,5.886666666666667,5.8
intern,2015,['Comedy'],7.1,3.65,,73.0,3,7.1,7.3,,7.3,3,7.233333333333333,7.3
into the forest,2015,"['Drama', 'Sci-Fi']",,2.0,59.0,43.0,3,,4.0,5.9,4.3,3,4.733333333333333,4.3
ip man 3,2015,['Action'],,4.0,57.0,72.0,3,,8.0,5.7,7.2,3,6.966666666666666,7.2
kidnapping mr heineken,2015,"['Action', 'Crime', 'Drama', 'Thriller']",,2.0,33.0,24.0,3,,4.0,3.3,2.4,3,3.233333333333333,3.3
kurt cobain montage of heck,2015,['Documentary'],,3.0,83.0,81.0,3,,6.0,8.3,8.1,3,7.466666666666666,8.1
last knights,2015,"['Action', 'Adventure']",,3.0,27.0,46.0,3,,6.0,2.7,4.6,3,4.433333333333333,4.6
lobster,2015,"['Comedy', 'Romance', 'Sci-Fi']",,4.0,82.0,65.0,3,,8.0,8.2,6.5,3,7.566666666666666,8.0
lovers,2015,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",,1.5,19.0,20.0,3,,3.0,1.9,2.0,3,2.3000000000000003,2.0
maggie,2015,"['Drama', 'Horror', 'Thriller']",,2.0,52.0,32.0,3,,4.0,5.2,3.2,3,4.133333333333333,4.0
maggies plan,2015,['Comedy'],,2.0,76.0,52.0,3,,4.0,7.6,5.2,3,5.6000000000000005,5.2
man up,2015,"['Comedy', 'Romance']",,3.75,69.0,69.0,3,,7.5,6.9,6.9,3,7.1000000000000005,6.9
maze runner the scorch trials,2015,['Action & Adventure'],6.3,,43.0,54.0,3,6.3,,4.3,5.4,3,5.333333333333333,5.4
mcfarland usa,2015,['Drama'],,3.5,60.0,88.0,3,,7.0,6.0,8.8,3,7.266666666666667,7.0
midnight special,2015,"['Drama', 'Sci-Fi']",,2.38,76.0,67.0,3,,4.76,7.6,6.7,3,6.353333333333333,6.7
mojave,2015,['Thriller'],,2.0,41.0,29.0,3,,4.0,4.1,2.9,3,3.6666666666666665,4.0
moonwalkers,2015,['Comedy'],,2.5,39.0,41.0,3,,5.0,3.9,4.1,3,4.333333333333333,4.1
no escape,2015,['Mystery & Suspense'],6.7,,38.0,62.0,3,6.7,,3.8,6.2,3,5.566666666666666,6.2
our brand is crisis,2015,"['Comedy', 'Drama']",,2.75,53.0,34.0,3,,5.5,5.3,3.4,3,4.733333333333333,5.3
overnight,2015,['Comedy'],,3.75,65.0,54.0,3,,7.5,6.5,5.4,3,6.466666666666666,6.5
partisan,2015,"['Drama', 'Thriller']",,2.0,50.0,38.0,3,,4.0,5.0,3.8,3,4.266666666666667,4.0
paul blart mall cop 2,2015,"['Action', 'Comedy', 'Crime']",,2.75,13.0,33.0,3,,5.5,1.3,3.3,3,3.3666666666666667,3.3
pawn sacrifice,2015,['Drama'],,2.5,65.0,66.0,3,,5.0,6.5,6.6,3,6.033333333333334,6.5
peanuts movie,2015,"['Adventure', 'Animation', 'Children', 'Comedy']",,1.5,67.0,76.0,3,,3.0,6.7,7.6,3,5.766666666666666,6.7
perfect day,2015,"['Comedy', 'Drama']",,5.0,60.0,56.0,3,,10.0,6.0,5.6,3,7.2,6.0
perfect guy,2015,"['Drama', 'Thriller']",,1.5,36.0,51.0,3,,3.0,3.6,5.1,3,3.9,3.6
point break,2015,['Action & Adventure'],5.3,,34.0,29.0,3,5.3,,3.4,2.9,3,3.8666666666666667,3.4
poltergeist,2015,['Horror'],4.9,,47.0,22.0,3,4.9,,4.7,2.2,3,3.9333333333333336,4.7
return to sender,2015,['Thriller'],,1.5,23.0,24.0,3,,3.0,2.3,2.4,3,2.5666666666666664,2.4
ricki and the flash,2015,"['Comedy', 'Drama']",,2.0,54.0,43.0,3,,4.0,5.4,4.3,3,4.566666666666666,4.3
ridiculous 6,2015,"['Comedy', 'Western']",4.8,3.25,18.0,,3,4.8,6.5,1.8,,3,4.366666666666667,4.8
rock the kasbah,2015,['Comedy'],,2.0,29.0,28.0,3,,4.0,2.9,2.8,3,3.233333333333333,2.9
runner,2015,['Drama'],,2.0,39.0,22.0,3,,4.0,3.9,2.2,3,3.366666666666667,3.9
second best exotic marigold hotel,2015,"['Comedy', 'Drama']",,3.0,51.0,59.0,3,,6.0,5.1,5.9,3,5.666666666666667,5.9
shaun the sheep movie,2015,"['Adventure', 'Animation', 'Children', 'Comedy']",,3.0,81.0,81.0,3,,6.0,8.1,8.1,3,7.3999999999999995,8.1
sinister 2,2015,['Horror'],5.3,,32.0,31.0,3,5.3,,3.2,3.1,3,3.8666666666666667,3.2
slow west,2015,"['Action', 'Thriller', 'Western']",,4.25,72.0,74.0,3,,8.5,7.2,7.4,3,7.7,7.4
solace,2015,"['Fantasy', 'Mystery', 'Thriller']",,2.0,36.0,43.0,3,,4.0,3.6,4.3,3,3.9666666666666663,4.0
spongebob movie sponge out of water,2015,"['Animation', 'Comedy', 'Kids & Family']",6.0,,62.0,54.0,3,6.0,,6.2,5.4,3,5.866666666666667,6.0
spring,2015,"['Horror', 'Romance', 'Sci-Fi']",,4.5,70.0,70.0,3,,9.0,7.0,7.0,3,7.666666666666667,7.0
stanford prison experiment,2015,"['Drama', 'Thriller']",,4.5,67.0,75.0,3,,9.0,6.7,7.5,3,7.733333333333333,7.5
stonewall,2015,['Drama'],,2.5,30.0,85.0,3,,5.0,3.0,8.5,3,5.5,5.0
strange magic,2015,"['Animation', 'Children', 'Fantasy', 'Musical']",,3.0,25.0,52.0,3,,6.0,2.5,5.2,3,4.566666666666666,5.2
suffragette,2015,['Drama'],,2.5,67.0,68.0,3,,5.0,6.7,6.8,3,6.166666666666667,6.7
survivor,2015,"['Action', 'Thriller']",,0.5,28.0,32.0,3,,1.0,2.8,3.2,3,2.3333333333333335,2.8
tangerine,2015,"['Comedy', 'Drama']",,4.5,85.0,76.0,3,,9.0,8.5,7.6,3,8.366666666666667,8.5
terminator genisys,2015,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",6.3,2.5,,53.0,3,6.3,5.0,,5.3,3,5.533333333333334,5.3
tracers,2015,['Action'],,1.0,45.0,37.0,3,,2.0,4.5,3.7,3,3.4,3.7
true story,2015,"['Drama', 'Mystery', 'Thriller']",,3.25,50.0,38.0,3,,6.5,5.0,3.8,3,5.1000000000000005,5.0
truth,2015,['Drama'],,3.0,66.0,62.0,3,,6.0,6.6,6.2,3,6.266666666666667,6.2
unfinished business,2015,['Comedy'],,2.25,32.0,26.0,3,,4.5,3.2,2.6,3,3.4333333333333336,3.2
vice,2015,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",,1.0,17.0,15.0,3,,2.0,1.7,1.5,3,1.7333333333333334,1.7
victoria,2015,"['Crime', 'Drama', 'Romance']",,3.9,77.0,83.0,3,,7.8,7.7,8.3,3,7.933333333333334,7.8
walk in the woods,2015,"['Adventure', 'Comedy', 'Drama']",,3.5,51.0,48.0,3,,7.0,5.1,4.8,3,5.633333333333333,5.1
war room,2015,['Drama'],,0.5,26.0,87.0,3,,1.0,2.6,8.7,3,4.1,2.6
wedding ringer,2015,['Comedy'],,3.8,35.0,63.0,3,,7.6,3.5,6.3,3,5.8,6.3
what happened miss simone,2015,['Documentary'],,3.5,75.0,85.0,3,,7.0,7.5,8.5,3,7.666666666666667,7.5
wild horses,2015,"['Crime', 'Drama']",,1.0,44.0,16.0,3,,2.0,4.4,1.6,3,2.6666666666666665,2.0
witch,2015,['Horror'],,4.0,83.0,59.0,3,,8.0,8.3,5.9,3,7.400000000000001,8.0
wolfpack,2015,['Documentary'],,3.5,75.0,68.0,3,,7.0,7.5,6.8,3,7.1000000000000005,7.0
woman in gold,2015,['Drama'],7.3,4.0,51.0,,3,7.3,8.0,5.1,,3,6.8,7.3
youth,2015,['Drama'],,3.5,64.0,69.0,3,,7.0,6.4,6.9,3,6.766666666666667,6.9
zipper,2015,"['Drama', 'Thriller']",,2.0,39.0,26.0,3,,4.0,3.9,2.6,3,3.5,3.9
13 sins,2014,"['Horror', 'Thriller']",,3.5,44.0,45.0,3,,7.0,4.4,4.5,3,5.3,4.5
20000 days on earth,2014,"['Documentary', 'Drama', 'Musical']",,4.0,83.0,78.0,3,,8.0,8.3,7.8,3,8.033333333333333,8.0
5 to 7,2014,"['Comedy', 'Drama', 'Romance']",,2.5,52.0,71.0,3,,5.0,5.2,7.1,3,5.766666666666666,5.2
71,2014,"['Action', 'Drama', 'Thriller', 'War']",,4.0,83.0,81.0,3,,8.0,8.3,8.1,3,8.133333333333333,8.1
about last night,2014,"['Comedy', 'Romance']",,2.25,62.0,65.0,3,,4.5,6.2,6.5,3,5.733333333333333,6.2
and so it goes,2014,"['Comedy', 'Drama', 'Romance']",,2.0,38.0,40.0,3,,4.0,3.8,4.0,3,3.9333333333333336,4.0
angriest man in brooklyn,2014,"['Comedy', 'Drama']",,4.0,21.0,30.0,3,,8.0,2.1,3.0,3,4.366666666666666,3.0
bag man,2014,"['Crime', 'Drama', 'Thriller']",,3.5,28.0,22.0,3,,7.0,2.8,2.2,3,4.0,2.8
barefoot,2014,"['Comedy', 'Drama', 'Romance']",,3.0,22.0,45.0,3,,6.0,2.2,4.5,3,4.233333333333333,4.5
before i go to sleep,2014,['Mystery & Suspense'],6.3,,41.0,40.0,3,6.3,,4.1,4.0,3,4.8,4.1
before we go,2014,['Romance'],,3.5,31.0,56.0,3,,7.0,3.1,5.6,3,5.233333333333333,5.6
best of me,2014,"['Drama', 'Romance']",6.7,,29.0,59.0,3,6.7,,2.9,5.9,3,5.166666666666667,5.9
better living through chemistry,2014,"['Comedy', 'Drama']",,1.5,40.0,38.0,3,,3.0,4.0,3.8,3,3.6,3.8
birdman or the unexpected virtue of ignorance,2014,"['Comedy', 'Drama']",7.7,3.35,87.0,,3,7.7,6.7,8.7,,3,7.7,7.7
boxtrolls,2014,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",6.8,,61.0,63.0,3,6.8,,6.1,6.3,3,6.3999999999999995,6.3
breathe,2014,['Drama'],,1.0,78.0,78.0,3,,2.0,7.8,7.8,3,5.866666666666667,7.8
brick mansions,2014,"['Action', 'Crime', 'Drama']",,1.5,40.0,47.0,3,,3.0,4.0,4.7,3,3.9,4.0
cake,2014,['Drama'],,2.75,49.0,44.0,3,,5.5,4.9,4.4,3,4.933333333333334,4.9
calvary,2014,"['Comedy', 'Drama']",,4.0,77.0,80.0,3,,8.0,7.7,8.0,3,7.8999999999999995,8.0
camp xray,2014,['Drama'],,3.5,54.0,63.0,3,,7.0,5.4,6.3,3,6.233333333333333,6.3
captive,2014,"['Crime', 'Drama', 'Thriller']",,2.0,36.0,43.0,3,,4.0,3.6,4.3,3,3.9666666666666663,4.0
cesar chavez,2014,['Drama'],,1.5,51.0,60.0,3,,3.0,5.1,6.0,3,4.7,5.1
citizenfour,2014,['Documentary'],,3.88,88.0,87.0,3,,7.76,8.8,8.7,3,8.42,8.7
cold in july,2014,"['Drama', 'Thriller']",,2.5,73.0,67.0,3,,5.0,7.3,6.7,3,6.333333333333333,6.7
da sweet blood of jesus,2014,"['Comedy', 'Romance', 'Thriller']",,3.25,52.0,19.0,3,,6.5,5.2,1.9,3,4.533333333333333,5.2
date and switch,2014,['Comedy'],,2.0,56.0,37.0,3,,4.0,5.6,3.7,3,4.433333333333334,4.0
digging up the marrow,2014,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",,3.0,45.0,41.0,3,,6.0,4.5,4.1,3,4.866666666666666,4.5
draft day,2014,['Drama'],6.8,,54.0,65.0,3,6.8,,5.4,6.5,3,6.233333333333333,6.5
drive hard,2014,"['Action', 'Comedy', 'Crime']",,1.5,29.0,12.0,3,,3.0,2.9,1.2,3,2.3666666666666667,2.9
duke of burgundy,2014,['Drama'],,3.5,87.0,65.0,3,,7.0,8.7,6.5,3,7.3999999999999995,7.0
dying of the light,2014,"['Drama', 'Thriller']",,1.5,31.0,15.0,3,,3.0,3.1,1.5,3,2.533333333333333,3.0
foxcatcher,2014,['Drama'],7.0,,81.0,66.0,3,7.0,,8.1,6.6,3,7.233333333333333,7.0
frank,2014,"['Comedy', 'Drama', 'Mystery']",,4.33,75.0,72.0,3,,8.66,7.5,7.2,3,7.786666666666666,7.5
get on up,2014,"['Drama', 'Musical']",,3.5,71.0,68.0,3,,7.0,7.1,6.8,3,6.966666666666666,7.0
green inferno,2014,"['Horror', 'Thriller']",,3.5,38.0,29.0,3,,7.0,3.8,2.9,3,4.566666666666667,3.8
green prince,2014,"['Documentary', 'Drama', 'Thriller']",,2.5,67.0,83.0,3,,5.0,6.7,8.3,3,6.666666666666667,6.7
gueros,2014,"['Comedy', 'Drama']",,3.0,77.0,79.0,3,,6.0,7.7,7.9,3,7.2,7.7
guest,2014,['Thriller'],,4.0,76.0,69.0,3,,8.0,7.6,6.9,3,7.5,7.6
hector and the search for happiness,2014,"['Adventure', 'Comedy', 'Drama']",,4.25,29.0,61.0,3,,8.5,2.9,6.1,3,5.833333333333333,6.1
hit by lightning,2014,"['Comedy', 'Crime', 'Romance']",,2.5,31.0,19.0,3,,5.0,3.1,1.9,3,3.3333333333333335,3.1
honeymoon,2014,['Horror'],,3.5,65.0,44.0,3,,7.0,6.5,4.4,3,5.966666666666666,6.5
horns,2014,"['Horror', 'Mystery']",,3.0,46.0,49.0,3,,6.0,4.6,4.9,3,5.166666666666667,4.9
housebound,2014,"['Comedy', 'Horror', 'Thriller']",,4.25,76.0,73.0,3,,8.5,7.6,7.3,3,7.800000000000001,7.6
internets own boy the story of aaron swartz,2014,['Documentary'],,4.5,72.0,91.0,3,,9.0,7.2,9.1,3,8.433333333333332,9.0
into the storm,2014,['Mystery & Suspense'],5.8,,44.0,42.0,3,5.8,,4.4,4.2,3,4.8,4.4
jersey boys,2014,"['Drama', 'Musical']",,2.5,54.0,62.0,3,,5.0,5.4,6.2,3,5.533333333333334,5.4
kill me three times,2014,['Thriller'],,3.0,30.0,30.0,3,,6.0,3.0,3.0,3,4.0,3.0
kill the messenger,2014,"['Crime', 'Drama', 'Mystery', 'Thriller']",,3.0,60.0,69.0,3,,6.0,6.0,6.9,3,6.3,6.0
kite,2014,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",,1.5,19.0,18.0,3,,3.0,1.9,1.8,3,2.2333333333333334,1.9
laggies,2014,"['Comedy', 'Romance']",,5.0,63.0,50.0,3,,10.0,6.3,5.0,3,7.1000000000000005,6.3
legend of hercules,2014,"['Action & Adventure', 'Science Fiction & Fantasy']",4.2,,22.0,33.0,3,4.2,,2.2,3.3,3,3.233333333333333,3.3
life after beth,2014,"['Comedy', 'Horror', 'Romance']",,3.5,50.0,30.0,3,,7.0,5.0,3.0,3,5.0,5.0
life partners,2014,"['Comedy', 'Romance']",,3.0,57.0,46.0,3,,6.0,5.7,4.6,3,5.433333333333333,5.7
lilting,2014,['Drama'],,4.5,61.0,80.0,3,,9.0,6.1,8.0,3,7.7,8.0
longest week,2014,"['Comedy', 'Drama']",,1.5,34.0,21.0,3,,3.0,3.4,2.1,3,2.8333333333333335,3.0
love mercy,2014,['Drama'],,4.33,80.0,85.0,3,,8.66,8.0,8.5,3,8.386666666666667,8.5
love rosie,2014,"['Comedy', 'Romance']",,3.5,44.0,63.0,3,,7.0,4.4,6.3,3,5.8999999999999995,6.3
maps to the stars,2014,['Drama'],,3.5,67.0,44.0,3,,7.0,6.7,4.4,3,6.033333333333334,6.7
men women children,2014,"['Comedy', 'Drama']",,2.0,38.0,44.0,3,,4.0,3.8,4.4,3,4.066666666666666,4.0
merry friggin christmas,2014,['Comedy'],,2.0,28.0,20.0,3,,4.0,2.8,2.0,3,2.9333333333333336,2.8
million dollar arm,2014,"['Comedy', 'Drama']",,3.0,56.0,68.0,3,,6.0,5.6,6.8,3,6.133333333333333,6.0
miss meadows,2014,['Drama'],,2.5,43.0,35.0,3,,5.0,4.3,3.5,3,4.266666666666667,4.3
mommy,2014,['Drama'],,4.0,74.0,89.0,3,,8.0,7.4,8.9,3,8.1,8.0
moms night out,2014,['Comedy'],,1.5,25.0,66.0,3,,3.0,2.5,6.6,3,4.033333333333333,3.0
most violent year,2014,"['Action & Adventure', 'Drama']",7.0,,79.0,69.0,3,7.0,,7.9,6.9,3,7.266666666666667,7.0
most wanted man,2014,['Thriller'],,4.5,73.0,65.0,3,,9.0,7.3,6.5,3,7.6000000000000005,7.3
muppets most wanted,2014,"['Adventure', 'Comedy', 'Crime']",,3.33,61.0,58.0,3,,6.66,6.1,5.8,3,6.1866666666666665,6.1
november man,2014,"['Action & Adventure', 'Mystery & Suspense']",6.3,,38.0,46.0,3,6.3,,3.8,4.6,3,4.8999999999999995,4.6
nut job,2014,"['Adventure', 'Animation', 'Children', 'Comedy']",,4.33,37.0,43.0,3,,8.66,3.7,4.3,3,5.553333333333334,4.3
one i love,2014,"['Comedy', 'Drama', 'Romance']",,5.0,66.0,76.0,3,,10.0,6.6,7.6,3,8.066666666666668,7.6
ouija,2014,"['Action & Adventure', 'Horror', 'Mystery & Suspense']",4.5,,38.0,24.0,3,4.5,,3.8,2.4,3,3.566666666666667,3.8
plastic,2014,"['Action', 'Crime']",,2.0,32.0,33.0,3,,4.0,3.2,3.3,3,3.5,3.3
playing it cool,2014,"['Comedy', 'Romance']",,2.0,30.0,33.0,3,,4.0,3.0,3.3,3,3.4333333333333336,3.3
pompeii,2014,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",5.5,,39.0,34.0,3,5.5,,3.9,3.4,3,4.266666666666667,3.9
pride,2014,"['Comedy', 'Drama']",,4.0,79.0,89.0,3,,8.0,7.9,8.9,3,8.266666666666667,8.0
red army,2014,['Documentary'],,4.0,83.0,85.0,3,,8.0,8.3,8.5,3,8.266666666666667,8.3
revenge of the green dragons,2014,"['Action', 'Crime', 'Drama']",,1.5,36.0,31.0,3,,3.0,3.6,3.1,3,3.233333333333333,3.1
rewrite,2014,"['Comedy', 'Romance']",,3.5,51.0,42.0,3,,7.0,5.1,4.2,3,5.433333333333334,5.1
rover,2014,"['Mystery & Suspense', 'Science Fiction & Fantasy', 'Western']",6.4,,64.0,51.0,3,6.4,,6.4,5.1,3,5.966666666666666,6.4
rudderless,2014,"['Comedy', 'Drama']",,4.5,52.0,83.0,3,,9.0,5.2,8.3,3,7.5,8.3
sabotage,2014,"['Action & Adventure', 'Mystery & Suspense']",5.7,,41.0,36.0,3,5.7,,4.1,3.6,3,4.466666666666667,4.1
salt of the earth,2014,['Documentary'],,4.33,83.0,90.0,3,,8.66,8.3,9.0,3,8.653333333333334,8.66
salvation,2014,"['Drama', 'Western']",,3.0,64.0,62.0,3,,6.0,6.4,6.2,3,6.2,6.2
sin city a dame to kill for,2014,"['Action', 'Crime', 'Thriller']",6.5,3.25,46.0,,3,6.5,6.5,4.6,,3,5.866666666666667,6.5
skeleton twins,2014,['Drama'],,3.33,74.0,69.0,3,,6.66,7.4,6.9,3,6.986666666666667,6.9
son of a gun,2014,"['Action', 'Crime', 'Drama']",,2.5,49.0,63.0,3,,5.0,4.9,6.3,3,5.3999999999999995,5.0
son of god,2014,['Drama'],,0.5,37.0,73.0,3,,1.0,3.7,7.3,3,4.0,3.7
song of the sea,2014,"['Animation', 'Children', 'Fantasy']",,3.0,85.0,92.0,3,,6.0,8.5,9.2,3,7.8999999999999995,8.5
that sugar film,2014,['Documentary'],,4.5,56.0,75.0,3,,9.0,5.6,7.5,3,7.366666666666667,7.5
they came together,2014,"['Comedy', 'Romance']",,2.0,60.0,39.0,3,,4.0,6.0,3.9,3,4.633333333333334,4.0
think like a man too,2014,"['Comedy', 'Romance']",,1.5,38.0,59.0,3,,3.0,3.8,5.9,3,4.233333333333333,3.8
top five,2014,['Comedy'],,3.0,81.0,64.0,3,,6.0,8.1,6.4,3,6.833333333333333,6.4
two night stand,2014,"['Comedy', 'Romance']",,2.83,45.0,45.0,3,,5.66,4.5,4.5,3,4.886666666666667,4.5
unfriended,2014,"['Horror', 'Mystery & Suspense']",5.6,,59.0,36.0,3,5.6,,5.9,3.6,3,5.033333333333333,5.6
vampire academy,2014,"['Action & Adventure', 'Comedy', 'Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Romance']",5.4,,31.0,55.0,3,5.4,,3.1,5.5,3,4.666666666666667,5.4
voices,2014,"['Comedy', 'Crime', 'Thriller']",,3.5,58.0,57.0,3,,7.0,5.8,5.7,3,6.166666666666667,5.8
wait,2014,['Drama'],,3.5,34.0,23.0,3,,7.0,3.4,2.3,3,4.233333333333333,3.4
walk among the tombstones,2014,"['Action & Adventure', 'Drama']",6.5,,57.0,53.0,3,6.5,,5.7,5.3,3,5.833333333333333,5.7
walk of shame,2014,['Comedy'],,2.5,25.0,37.0,3,,5.0,2.5,3.7,3,3.733333333333333,3.7
water diviner,2014,['Drama'],7.0,,50.0,60.0,3,7.0,,5.0,6.0,3,6.0,6.0
watermark,2014,['Documentary'],,5.0,68.0,58.0,3,,10.0,6.8,5.8,3,7.533333333333334,6.8
welcome to me,2014,"['Comedy', 'Drama']",,3.0,69.0,46.0,3,,6.0,6.9,4.6,3,5.833333333333333,6.0
wild tales,2014,"['Comedy', 'Drama', 'Thriller']",,4.25,77.0,92.0,3,,8.5,7.7,9.2,3,8.466666666666667,8.5
21 and over,2013,['Comedy'],,3.62,34.0,46.0,3,,7.24,3.4,4.6,3,5.08,4.6
admission,2013,"['Comedy', 'Romance']",,3.0,48.0,32.0,3,,6.0,4.8,3.2,3,4.666666666666667,4.8
all is bright,2013,"['Comedy', 'Drama']",,1.5,54.0,22.0,3,,3.0,5.4,2.2,3,3.5333333333333337,3.0
art of the steal,2013,['Crime'],,3.33,53.0,39.0,3,,6.66,5.3,3.9,3,5.286666666666667,5.3
at middleton,2013,"['Comedy', 'Romance']",,1.5,60.0,45.0,3,,3.0,6.0,4.5,3,4.5,4.5
august osage county,2013,['Drama'],7.2,,58.0,65.0,3,7.2,,5.8,6.5,3,6.5,6.5
austenland,2013,"['Comedy', 'Romance']",,3.17,42.0,54.0,3,,6.34,4.2,5.4,3,5.3133333333333335,5.4
bad milo,2013,"['Comedy', 'Horror']",,1.0,62.0,41.0,3,,2.0,6.2,4.1,3,4.1,4.1
big wedding,2013,['Comedy'],5.6,,28.0,40.0,3,5.6,,2.8,4.0,3,4.133333333333333,4.0
blackfish,2013,['Documentary'],,3.0,83.0,90.0,3,,6.0,8.3,9.0,3,7.766666666666667,8.3
broken city,2013,['Drama'],6.1,,49.0,40.0,3,6.1,,4.9,4.0,3,5.0,4.9
charlie countryman,2013,"['Action', 'Comedy', 'Romance']",,1.5,31.0,49.0,3,,3.0,3.1,4.9,3,3.6666666666666665,3.1
cold comes the night,2013,"['Crime', 'Drama', 'Thriller']",,2.0,37.0,29.0,3,,4.0,3.7,2.9,3,3.533333333333333,3.7
dead man down,2013,['Mystery & Suspense'],6.4,,39.0,47.0,3,6.4,,3.9,4.7,3,5.0,4.7
double,2013,"['Comedy', 'Drama', 'Thriller']",,4.0,68.0,59.0,3,,8.0,6.8,5.9,3,6.900000000000001,6.8
east,2013,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",6.8,,68.0,64.0,3,6.8,,6.8,6.4,3,6.666666666666667,6.8
eden,2013,['Drama'],,4.0,81.0,68.0,3,,8.0,8.1,6.8,3,7.633333333333334,8.0
enemy,2013,"['Mystery', 'Thriller']",,3.5,61.0,63.0,3,,7.0,6.1,6.3,3,6.466666666666666,6.3
english teacher,2013,"['Comedy', 'Drama']",,2.0,42.0,30.0,3,,4.0,4.2,3.0,3,3.733333333333333,4.0
escape from planet earth,2013,"['Adventure', 'Animation', 'Comedy', 'Sci-Fi']",,4.0,35.0,54.0,3,,8.0,3.5,5.4,3,5.633333333333333,5.4
escape from tomorrow,2013,"['Drama', 'Fantasy', 'Horror']",,3.0,58.0,25.0,3,,6.0,5.8,2.5,3,4.766666666666667,5.8
fading gigolo,2013,['Comedy'],,4.0,58.0,41.0,3,,8.0,5.8,4.1,3,5.966666666666666,5.8
felony,2013,['Thriller'],,3.0,52.0,46.0,3,,6.0,5.2,4.6,3,5.266666666666667,5.2
frozen ground,2013,"['Drama', 'Mystery & Suspense']",6.4,,37.0,50.0,3,6.4,,3.7,5.0,3,5.033333333333334,5.0
gbf,2013,['Comedy'],,3.0,56.0,55.0,3,,6.0,5.6,5.5,3,5.7,5.6
getaway,2013,"['Action', 'Crime']",,1.0,22.0,35.0,3,,2.0,2.2,3.5,3,2.566666666666667,2.2
good day to die hard,2013,['Action & Adventure'],5.2,,28.0,40.0,3,5.2,,2.8,4.0,3,4.0,4.0
hatchet iii,2013,"['Comedy', 'Horror']",,4.0,25.0,39.0,3,,8.0,2.5,3.9,3,4.8,3.9
