norm_title,year_cluster,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience,title,year,release_date,genres,ID_IMDB,ID_METACRITIC,ID_MOVIELENS
as if i am not there,0,,,,85.0,as if i am not there,2010,,"['Art House & International', 'Drama']",,,
as you like it,0,,,3.0,36.0,as you like it,2006,,"['Comedy', 'Drama', 'Romance']",,,6636.0
ascent,0,,,3.5,,ascent,1977,,"['Drama', 'War']",,,5854.0
ash is purest white,0,,85.0,,99.0,ash is purest white,2019,,"['Drama', 'Romance']",,3394.0,
ash wednesday,0,,,,9.0,ash wednesday,1973,,['Drama'],,,
ashby,0,,46.0,3.0,52.0,ashby,2015,,"['Drama', 'Comedy', 'Romance']",,4477.0,9069.0
asher,0,,,,46.0,asher,2018,,['Drama'],,,
ashes and diamonds,0,,,4.0,,ashes and diamonds,1958,,"['Drama', 'War']",,,4837.0
ashes in the snow,0,,,,50.0,ashes in the snow,2019,,['Drama'],,,
ashes of time,0,,,4.0,,ashes of time,1994,,['Drama'],,,604.0
ashes of time redux,0,,,,78.0,ashes of time redux,2008,,"['Action & Adventure', 'Art House & International']",,,
ashik kerib,0,,,,100.0,ashik kerib,1989,,"['Art House & International', 'Drama']",,,
ask dr ruth,0,,68.0,,,ask dr ruth,2019,,"['Biography', 'Documentary']",,4898.0,
ask no questions,0,,,,100.0,ask no questions,2020,,['Documentary'],,,
ask the dust,0,,58.0,4.0,35.0,ask the dust,2006,,"['Drama', 'Romance']",,2761.0,6134.0
asoka,0,,,,100.0,asoka,2001,,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama', 'Romance']",,,
aspen extreme,0,,,3.5,22.0,aspen extreme,1993,,['Action'],,,3955.0
asphalt jungle,0,,,3.7,,asphalt jungle,1950,,"['Crime', 'Film-Noir']",,,2514.0
asphyx,0,,,4.5,,asphyx,1973,,"['Horror', 'Sci-Fi']",,,7518.0
ass backwards,0,,,,27.0,ass backwards,2013,,"['Action & Adventure', 'Comedy']",,,
assassin s bullet,0,,20.0,,7.0,assassin s bullet,2012,,"['Action', 'Drama', 'Thriller']",,2186.0,
assassin s creed,0,5.6,36.0,2.5,18.0,assassin s creed,2016,,"['Action', 'Adventure', 'Sci-Fi']",2725.0,1786.0,9428.0
assassination,0,,,4.0,,assassination,1987,,"['Action', 'Drama', 'Thriller']",,,2058.0
assassination nation,0,,56.0,,74.0,assassination nation,2018,,"['Action', 'Drama', 'Mystery', 'Thriller', 'Horror', 'Comedy', 'Crime']",,6052.0,
assassination of a high school president,0,,,1.0,50.0,assassination of a high school president,2008,,"['Comedy', 'Drama', 'Mystery']",,,7139.0
assassination of jesse james by the coward robert ford,0,,,4.1,,assassination of jesse james by the coward robert ford,2007,,"['Crime', 'Drama', 'Western']",,,6580.0
assassination of richard nixon,0,,,3.5,,assassination of richard nixon,2004,,"['Crime', 'Drama', 'Thriller']",,,5732.0
assassination tango,0,,,2.0,47.0,assassination tango,2002,,"['Drama', 'Thriller']",,,4284.0
assassins,0,6.3,,3.1,16.0,assassins,1995,,"['Action', 'Crime', 'Thriller']",544.0,,23.0
assault of the killer bimbos,0,,,,17.0,assault of the killer bimbos,2017,,['Comedy'],,,
assault on precinct 13,0,7.3,89.0,3.6,98.0,assault on precinct 13,1976,,"['Action', 'Crime', 'Thriller']",51.0,5459.0,2782.0
assault on precinct 13,1,6.3,54.0,3.2,59.0,assault on precinct 13,2005,,"['Action', 'Crime', 'Drama']",1471.0,1822.0,5763.0
assault on wall street,0,,,,25.0,assault on wall street,2013,,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']",,,
assaulted civil rights under fire,0,,,,60.0,assaulted civil rights under fire,2013,,"['Documentary', 'Special Interest']",,,
assembly,0,,,4.5,,assembly,2007,,"['Action', 'Drama', 'War']",,,6702.0
assignment,0,,,5.0,,assignment,1997,,"['Action', 'Thriller']",,,1228.0
assisted living,0,,57.0,,76.0,assisted living,2005,,"['Drama', 'Comedy']",,3990.0,
asterix and cleopatra,0,,,4.2,,asterix and cleopatra,1968,,"['Action', 'Adventure', 'Animation', 'Children', 'Comedy']",,,5458.0
asterix and the vikings,0,,,5.0,,asterix and the vikings,2006,,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",,,7743.0
asterix at the olympic games,0,,,4.0,,asterix at the olympic games,2008,,"['Adventure', 'Children', 'Comedy', 'Fantasy']",,,7221.0
asterix in america a k conquers,0,,,3.8,,asterix in america a k conquers,1994,,"['Adventure', 'Animation', 'Children', 'Comedy']",,,7742.0
asterix obelix god save britannia,0,,,2.5,,asterix obelix god save britannia,2012,,"['Adventure', 'Comedy']",,,7993.0
asterix obelix mission cleopatra,0,,,4.0,,asterix obelix mission cleopatra,2002,,"['Adventure', 'Comedy', 'Fantasy']",,,5624.0
asterix obelix vs caesar,0,,,4.0,,asterix obelix vs caesar,1999,,"['Adventure', 'Children', 'Comedy', 'Fantasy']",,,5959.0
asterix the land of gods,0,,,3.8,,asterix the land of gods,2014,,['Animation'],,,8576.0
asteroid city,0,6.6,,,,asteroid city,2023,,"['Comedy', 'Drama', 'Romance']",2366.0,,
astro boy,0,,53.0,,50.0,astro boy,2009,,"['Action', 'Sci-Fi', 'Animation', 'Family']",,6346.0,
astronaut,0,,,,67.0,astronaut,2019,,['Drama'],,,
astronaut farmer,0,,,2.2,,astronaut farmer,2007,,['Drama'],,,6391.0
astronaut s wife,0,,,2.3,,astronaut s wife,1999,,"['Horror', 'Sci-Fi', 'Thriller']",,,2127.0
asylum,0,,,,67.0,asylum,1972,,"['Documentary', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Special Interest', 'Romance']",,,
asylum,1,,,,36.0,asylum,2005,,"['Documentary', 'Drama', 'Special Interest']",,,
at any price,0,,61.0,,51.0,at any price,2013,,"['Adventure', 'Drama', 'Thriller', 'Family']",,8790.0,
at berkeley,0,,81.0,,,at berkeley,2013,,['Documentary'],,8093.0,
at close range,0,,67.0,3.3,87.0,at close range,1986,,"['Drama', 'Crime']",,8915.0,3021.0
at eternity s gate,0,,76.0,,79.0,at eternity s gate,2018,,"['Biography', 'Drama']",,6710.0,
at first light,0,,,,54.0,at first light,2018,,['Drama'],,,
at first sight,0,,40.0,2.7,32.0,at first sight,1999,,"['Drama', 'Romance']",,664.0,1838.0
at middleton,0,,60.0,1.5,61.0,at middleton,2013,,"['Comedy', 'Romance']",,8824.0,8418.0
at the circus,0,,,3.0,,at the circus,1939,,"['Comedy', 'Musical']",,,5915.0
at the devil s door,0,,47.0,,43.0,at the devil s door,2014,,['Horror'],,3431.0,
at the earth s core,0,,,,33.0,at the earth s core,1976,,"['Action & Adventure', 'Art House & International', 'Cult Movies', 'Science Fiction & Fantasy']",,,
at the edge of world,0,,,,87.0,at the edge of world,2009,,"['Documentary', 'Special Interest']",,,
at the height of summer,0,,72.0,,,at the height of summer,2001,,['Drama'],,5138.0,
atalante l,0,,,4.5,,atalante l,1934,,"['Comedy', 'Drama', 'Romance']",,,5403.0
atame,0,,,,67.0,atame,1990,,"['Art House & International', 'Comedy', 'Drama', 'Romance']",,,
atanarjuat the fast runner,0,,91.0,,91.0,atanarjuat the fast runner,2002,,"['Drama', 'Fantasy']",,6070.0,
atl,0,,63.0,,62.0,atl,2006,,"['Drama', 'Comedy', 'Romance', 'Crime', 'Music']",,5061.0,
atlantic city,0,,,3.7,100.0,atlantic city,1980,,"['Crime', 'Drama', 'Romance']",,,1588.0
atlantics,0,,,,96.0,atlantics,2019,,"['Drama', 'Romance']",,,
atlantis the lost empire,0,6.9,52.0,3.3,49.0,atlantis the lost empire,2001,,"['Action', 'Adventure', 'Animation']",1009.0,2216.0,3226.0
atlas shrugged ii the strike,0,,26.0,,,atlas shrugged ii the strike,2012,,"['Sci-Fi', 'Drama', 'Mystery']",,1110.0,
atlas shrugged iii who is john galt,0,,9.0,,,atlas shrugged iii who is john galt,2014,,"['Sci-Fi', 'Drama', 'Mystery']",,2630.0,
atlas shrugged part 1,0,,,2.0,,atlas shrugged part 1,2011,,"['Drama', 'Mystery', 'Sci-Fi']",,,7575.0
atlas shrugged part i,0,,28.0,,12.0,atlas shrugged part i,2011,,"['Sci-Fi', 'Drama', 'Mystery']",,1533.0,
atlas shrugged part ii,0,,,,4.0,atlas shrugged part ii,2012,,['Drama'],,,
atlas shrugged who is john galt,0,,,,0.0,atlas shrugged who is john galt,2014,,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",,,
atm,0,,34.0,,12.0,atm,2012,,"['Thriller', 'Horror']",,2951.0,
atomic blonde,0,6.7,63.0,3.0,78.0,atomic blonde,2017,,"['Action', 'Thriller']",2842.0,7744.0,9550.0
atomic brain,0,,,3.5,,atomic brain,1963,,"['Horror', 'Sci-Fi']",,,7806.0
atomic cafe,0,,,4.5,,atomic cafe,1982,,"['Documentary', 'War']",,,3778.0
atomic submarine,0,,,3.0,,atomic submarine,1959,,"['Sci-Fi', 'Thriller']",,,7855.0
atonement,0,7.8,85.0,3.5,83.0,atonement,2007,,"['Drama', 'Mystery', 'Romance']",1788.0,6609.0,6545.0
atragon,0,,,3.5,,atragon,1963,,"['Adventure', 'Sci-Fi']",,,4490.0
atrocious,0,,,,56.0,atrocious,2011,,"['Art House & International', 'Horror', 'Mystery & Suspense']",,,
attack,0,,,,100.0,attack,1956,,"['Classics', 'Drama']",,,
attack of the 50 foot woman,0,,,4.5,75.0,attack of the 50 foot woman,1958,,"['Comedy', 'Sci-Fi']",,,7120.0
attack of the crab monsters,0,,,3.0,,attack of the crab monsters,1957,,"['Horror', 'Sci-Fi']",,,4149.0
attack of the giant leeches,0,,,2.2,,attack of the giant leeches,1959,,"['Horror', 'Sci-Fi']",,,5104.0
attack of the killer tomatoes,0,,,2.2,27.0,attack of the killer tomatoes,1978,,"['Comedy', 'Horror']",,,1619.0
attack of the lederhosen zombies,0,,,,55.0,attack of the lederhosen zombies,2017,,"['Comedy', 'Horror']",,,
attack of the puppet people,0,,,4.0,,attack of the puppet people,1958,,"['Horror', 'Sci-Fi']",,,4491.0
attack on titan part 2,0,,,,50.0,attack on titan part 2,2015,,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']",,,
attack the block,0,6.7,75.0,3.5,90.0,attack the block,2011,,"['Action', 'Adventure', 'Comedy']",2403.0,7773.0,7599.0
attenberg,0,,73.0,,78.0,attenberg,2012,,['Drama'],,6502.0,
attila,0,,,2.5,,attila,1982,,['Action'],,,4118.0
attraction,0,,,,0.0,attraction,2001,,"['Drama', 'Mystery & Suspense']",,,
attraction,1,,,,36.0,attraction,2018,,"['Art House & International', 'Science Fiction & Fantasy', 'Romance']",,,
au hasard balthazar,0,,,3.5,100.0,au hasard balthazar,1966,,"['Crime', 'Drama']",,,5450.0
au revoir les enfants,0,,,4.1,,au revoir les enfants,1987,,['Drama'],,,5099.0
audience of one,0,,,,82.0,audience of one,2007,,"['Documentary', 'Television']",,,
audition,0,,,3.8,82.0,audition,1999,,"['Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']",,,5620.0
audition,1,,69.0,,,audition,2001,,"['Drama', 'Mystery', 'Thriller', 'Horror', 'Romance']",,4089.0,
audrey rose,0,,,2.0,50.0,audrey rose,1977,,['Horror'],,,1020.0
audrie daisy,0,,73.0,,81.0,audrie daisy,2016,,['Documentary'],,3959.0,
auggie,0,,,,80.0,auggie,2019,,"['Drama', 'Science Fiction & Fantasy']",,,
auggie rose,0,,49.0,,,auggie rose,2001,,"['Drama', 'Mystery', 'Thriller']",,483.0,
august,0,,,,14.0,august,1996,,"['Comedy', 'Drama', 'Romance']",,,
august,1,,39.0,,,august,2008,,['Drama'],,1499.0,
august osage county,0,7.2,58.0,,67.0,august osage county,2013,,"['Comedy', 'Drama']",2288.0,4354.0,
august rush,0,7.4,38.0,3.5,37.0,august rush,2007,,"['Drama', 'Music']",1558.0,985.0,6601.0
augustine,0,,74.0,,73.0,augustine,2013,,['Drama'],,6198.0,
auntie mame,0,,,3.7,93.0,auntie mame,1958,,"['Comedy', 'Drama']",,,2647.0
aurora,0,,,,77.0,aurora,2011,,"['Art House & International', 'Drama']",,,
aurora borealis,0,,58.0,,,aurora borealis,2006,,"['Drama', 'Romance']",,6561.0,
aus dem leben der marionetten,0,,,,67.0,aus dem leben der marionetten,1980,,"['Art House & International', 'Drama', 'Television']",,,
austenland,0,,42.0,3.2,31.0,austenland,2013,,"['Comedy', 'Romance']",,4492.0,8239.0
austin powers in goldmember,0,6.2,62.0,2.8,53.0,austin powers in goldmember,2002,,"['Action', 'Adventure', 'Comedy']",1163.0,7028.0,3899.0
austin powers international man of mystery,0,7.0,51.0,3.5,71.0,austin powers international man of mystery,1997,,"['Adventure', 'Comedy']",661.0,1029.0,1154.0
austin powers the spy who shagged me,0,6.6,59.0,3.2,52.0,austin powers the spy who shagged me,1999,,"['Action', 'Adventure', 'Comedy']",862.0,1599.0,2014.0
australia,0,6.6,53.0,3.2,55.0,australia,2008,,"['Adventure', 'Drama', 'Romance']",1651.0,3516.0,6886.0
australia land beyond time,0,,,,86.0,australia land beyond time,2002,,"['Art House & International', 'Documentary']",,,
author the jt leroy story,0,,,,77.0,author the jt leroy story,2016,,['Documentary'],,,
authors anonymous,0,,,,7.0,authors anonymous,2014,,['Comedy'],,,
auto focus,0,,,3.2,71.0,auto focus,2002,,"['Crime', 'Drama']",,,4015.0
automata,0,6.0,37.0,3.0,29.0,automata,2014,,"['Action', 'Drama', 'Sci-Fi']",2681.0,1705.0,8514.0
autumn blood,0,,,,20.0,autumn blood,2014,,"['Drama', 'Mystery & Suspense']",,,
autumn in new york,0,,24.0,2.4,19.0,autumn in new york,2000,,"['Drama', 'Romance']",,595.0,2855.0
autumn lights,0,,,,14.0,autumn lights,2016,,"['Drama', 'Mystery & Suspense']",,,
autumn marathon,0,,,4.0,,autumn marathon,1979,,"['Comedy', 'Drama']",,,9028.0
autumn sonata,0,,,4.6,,autumn sonata,1978,,['Drama'],,,1589.0
autumn spring,0,,,3.5,,autumn spring,2001,,"['Comedy', 'Drama']",,,4509.0
autumn spring,1,,,,97.0,autumn spring,2003,,"['Art House & International', 'Comedy', 'Documentary', 'Drama', 'Musical & Performing Arts']",,,
autumn tale an,0,,,4.0,,autumn tale an,1998,,['Romance'],,,2033.0
ava s possessions,0,,,,69.0,ava s possessions,2016,,['Horror'],,,
avalanche,0,,,2.5,,avalanche,1978,,['Action'],,,1910.0
avalon,0,,,3.0,85.0,avalon,1990,,['Drama'],,,3104.0
avalon,1,,,3.5,,avalon,2001,,"['Drama', 'Fantasy', 'Sci-Fi']",,,4565.0
avanti,0,,,4.0,81.0,avanti,1972,,"['Comedy', 'Drama']",,,4447.0
avatar,0,7.9,83.0,3.6,82.0,avatar,2009,,"['Action', 'Adventure', 'Fantasy']",1763.0,5890.0,7196.0
avatar the way of water,0,7.6,,,,avatar the way of water,2022,,"['Action', 'Adventure', 'Fantasy']",2515.0,,
avaze gonjeshk ha,0,,,,98.0,avaze gonjeshk ha,2009,,"['Art House & International', 'Drama']",,,
avenged,0,,,,88.0,avenged,2015,,"['Action & Adventure', 'Drama', 'Horror']",,,
avengement,0,,,,84.0,avengement,2019,,"['Action & Adventure', 'Mystery & Suspense']",,,
avengers,0,,,2.3,,avengers,1998,,"['Action', 'Adventure']",,,1611.0
avengers,1,,,3.9,,avengers,2012,,"['Action', 'Adventure', 'Sci-Fi', 'IMAX']",,,7676.0
avengers age of ultron,0,7.3,,3.5,76.0,avengers age of ultron,2015,,"['Action', 'Adventure', 'Sci-Fi']",2831.0,,8669.0
avengers endgame,0,8.4,78.0,,94.0,avengers endgame,2019,,"['Action', 'Adventure', 'Drama']",3056.0,8919.0,
avengers infinity war,0,8.4,68.0,,85.0,avengers infinity war,2018,,"['Action', 'Adventure', 'Sci-Fi']",3055.0,3049.0,
avengers infinity war part i,0,,,4.0,,avengers infinity war part i,2018,,"['Action', 'Adventure', 'Sci-Fi']",,,8676.0
avenging angel,0,,,,33.0,avenging angel,2015,,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",,,
avenging angelo,0,,,,13.0,avenging angelo,2002,,"['Action & Adventure', 'Comedy']",,,
avenue montaigne,0,,64.0,,,avenue montaigne,2007,,"['Drama', 'Comedy', 'Romance']",,5134.0,
aviator,0,,,3.5,,aviator,2004,,['Drama'],,,5726.0
avp alien vs predator,0,5.7,29.0,2.8,21.0,avp alien vs predator,2004,,"['Action', 'Adventure', 'Horror']",1372.0,1797.0,5302.0
avpr aliens vs predator requiem,0,4.6,29.0,2.6,,avpr aliens vs predator requiem,2007,,"['Action', 'Horror', 'Sci-Fi']",1766.0,3274.0,6634.0
avventura l,0,,,4.0,,avventura l,1960,,"['Drama', 'Mystery', 'Romance']",,,5119.0
await further instructions,0,,,,80.0,await further instructions,2018,,['Horror'],,,
awake,0,6.5,33.0,4.0,24.0,awake,2007,,"['Crime', 'Drama', 'Mystery']",984.0,1611.0,6612.0
awake,1,,,,14.0,awake,2019,,['Mystery & Suspense'],,,
awake the life of yogananda,0,,,,64.0,awake the life of yogananda,2014,,['Documentary'],,,
awakening,0,,,3.0,,awakening,1980,,['Horror'],,,3453.0
awakening the zodiac,0,,,,42.0,awakening the zodiac,2017,,['Mystery & Suspense'],,,
awakenings,0,7.8,74.0,3.7,88.0,awakenings,1990,,"['Biography', 'Drama']",351.0,4665.0,2346.0
away from her,0,,88.0,3.6,94.0,away from her,2006,,"['Drama', 'Romance']",,5979.0,6464.0
away we go,0,7.0,58.0,3.5,68.0,away we go,2009,,"['Comedy', 'Drama', 'Romance']",2130.0,5009.0,6963.0
awesome i fuckin shot that,0,,68.0,,,awesome i fuckin shot that,2006,,"['Music', 'Documentary']",,8062.0,
awful nice,0,,,,22.0,awful nice,2014,,['Comedy'],,,
awful truth,0,,,4.8,,awful truth,1937,,"['Comedy', 'Romance']",,,4279.0
awfully big adventure an,0,,,5.0,,awfully big adventure an,1995,,['Drama'],,,122.0
awol,0,,,,93.0,awol,2017,,['Drama'],,,
axolotl overkill,0,,,,64.0,axolotl overkill,2017,,"['Art House & International', 'Drama']",,,
ayn rand a sense of life,0,,,,50.0,ayn rand a sense of life,1998,,"['Documentary', 'Special Interest']",,,
ayurveda the art of being,0,,,,57.0,ayurveda the art of being,2002,,"['Documentary', 'Drama', 'Special Interest', 'Faith & Spirituality', 'Sports & Fitness']",,,
aziz ansari buried alive,0,,,,100.0,aziz ansari buried alive,2013,,"['Comedy', 'Television']",,,
azumi,0,,,2.8,,azumi,2003,,"['Action', 'Adventure', 'Drama', 'Thriller']",,,5709.0
azumi,1,,49.0,,,azumi,2006,,"['Action', 'Adventure', 'Drama', 'Thriller', 'Fantasy']",,1658.0,
b,0,,,,90.0,b,2018,,['Mystery & Suspense'],,,
b a p s,0,,,1.5,16.0,b a p s,1997,,['Comedy'],,,1139.0
b monkey,0,,49.0,2.5,,b monkey,1998,,"['Thriller', 'Romance', 'Crime']",,1319.0,1316.0
b w,0,,,3.5,,b w,2015,,"['Comedy', 'Crime', 'Sci-Fi']",,,8839.0
baadasssss,0,,75.0,3.4,91.0,baadasssss,2003,,"['Biography', 'Drama']",,5716.0,5155.0
baader meinhof komplex der,0,,,4.0,,baader meinhof komplex der,2008,,"['Action', 'Crime', 'Drama', 'Thriller']",,,6981.0
baaria,0,,,4.5,55.0,baaria,2009,,"['Comedy', 'Drama', 'War']",,,7328.0
babadook,0,,,4.5,,babadook,2014,,"['Drama', 'Horror', 'Thriller']",,,8448.0
babe,0,,,2.2,,babe,1992,,['Drama'],,,4411.0
babe,1,6.9,83.0,3.7,97.0,babe,1995,,"['Comedy', 'Drama', 'Family']",545.0,7051.0,33.0
babe pig in the city,0,,68.0,2.8,65.0,babe pig in the city,1998,,"['Adventure', 'Drama', 'Fantasy', 'Comedy', 'Family']",,8432.0,1786.0
babel,0,7.5,69.0,3.5,69.0,babel,2006,,['Drama'],1620.0,7726.0,6228.0
babes in arms,0,,,,83.0,babes in arms,1939,,"['Classics', 'Comedy', 'Musical & Performing Arts']",,,
babes in toyland,0,,,5.0,100.0,babes in toyland,1934,,"['Children', 'Comedy', 'Fantasy', 'Musical']",,,2328.0
babes in toyland,1,,,3.1,36.0,babes in toyland,1961,,"['Children', 'Fantasy', 'Musical']",,,1492.0
babette s feast,0,,,4.4,97.0,babette s feast,1987,,['Drama'],,,4566.0
babies,0,,63.0,,68.0,babies,2010,,['Documentary'],,6783.0,
baby,0,,,1.5,,baby,1973,,['Horror'],,,2463.0
baby boom,0,,53.0,3.2,76.0,baby boom,1987,,"['Drama', 'Comedy', 'Romance']",,6149.0,3043.0
baby boy,0,,55.0,0.5,71.0,baby boy,2001,,"['Drama', 'Comedy', 'Romance', 'Crime']",,3964.0,3231.0
baby doll,0,,,,94.0,baby doll,1956,,"['Classics', 'Comedy']",,,
baby driver,0,7.6,86.0,4.3,92.0,baby driver,2017,,"['Action', 'Crime', 'Drama']",3034.0,5896.0,9504.0
baby face,0,,,,100.0,baby face,1933,,"['Classics', 'Drama']",,,
baby geniuses,0,,,1.7,2.0,baby geniuses,1999,,['Comedy'],,,1927.0
baby it s you,0,,,,94.0,baby it s you,1983,,"['Art House & International', 'Comedy', 'Drama']",,,
baby mama,0,,55.0,3.1,64.0,baby mama,2008,,"['Comedy', 'Romance']",,2365.0,6724.0
baby on board,0,,,,20.0,baby on board,2008,,['Comedy'],,,
baby s day out,0,6.2,,1.2,20.0,baby s day out,1994,,"['Adventure', 'Comedy', 'Crime']",499.0,,3692.0
baby secret of the lost legend,0,,,2.2,13.0,baby secret of the lost legend,1985,,"['Adventure', 'Sci-Fi']",,,2538.0
baby sitters club,0,,,2.9,,baby sitters club,1995,,['Children'],,,302.0
baby the rain must fall,0,,,,60.0,baby the rain must fall,1965,,"['Classics', 'Drama']",,,
babyfever,0,,,,36.0,babyfever,1994,,['Comedy'],,,
babylon,0,,,,100.0,babylon,2019,,"['Action & Adventure', 'Drama']",,,
babylon,1,7.1,,,,babylon,2022,,"['Comedy', 'Drama', 'History']",2025.0,,
babylon 5 a call to arms,0,,,3.3,,babylon 5 a call to arms,1999,,"['Adventure', 'Sci-Fi']",,,5013.0
babylon 5 in the beginning,0,,,2.8,,babylon 5 in the beginning,1998,,"['Adventure', 'Sci-Fi']",,,4975.0
babylon 5 the gathering,0,,,4.0,,babylon 5 the gathering,1993,,['Sci-Fi'],,,6414.0
babylon 5 the legend of rangers to live and die in starlight,0,,,4.0,,babylon 5 the legend of rangers to live and die in starlight,2002,,['Sci-Fi'],,,6860.0
babylon 5 the lost tales voices in dark,0,,,4.0,,babylon 5 the lost tales voices in dark,2007,,['Sci-Fi'],,,6861.0
babylon 5 the river of souls,0,,,4.0,,babylon 5 the river of souls,1998,,"['Drama', 'Sci-Fi']",,,5014.0
babylon 5 thirdspace,0,,,3.7,,babylon 5 thirdspace,1998,,"['Drama', 'Sci-Fi']",,,5015.0
babylon a d,0,5.5,26.0,2.3,6.0,babylon a d,2008,,"['Action', 'Adventure', 'Sci-Fi']",1347.0,2718.0,6822.0
babysitter,0,,,2.3,,babysitter,1995,,"['Drama', 'Thriller']",,,186.0
babysplitters,0,,,,69.0,babysplitters,2020,,['Comedy'],,,
babyteeth,0,,,,94.0,babyteeth,2020,,"['Comedy', 'Drama']",,,
bacheha ye aseman,0,8.2,,,,bacheha ye aseman,1997,,"['Drama', 'Family', 'Sport']",670.0,,
bachelor,0,,,2.5,,bachelor,1999,,"['Comedy', 'Romance']",,,2262.0
bachelor and the bobby soxer,0,,,3.0,,bachelor and the bobby soxer,1947,,['Comedy'],,,5268.0
bachelor party,0,,,2.9,,bachelor party,1984,,['Comedy'],,,2631.0
bachelorette,0,,53.0,,56.0,bachelorette,2012,,['Comedy'],,7400.0,
bachna ae haseeno,0,,,,63.0,bachna ae haseeno,2008,,"['Art House & International', 'Comedy', 'Romance']",,,
back in the day,0,,,,11.0,back in the day,2014,,"['Comedy', 'Drama']",,,
back roads,0,,,,55.0,back roads,2018,,['Drama'],,,
back to 1942,0,,,,36.0,back to 1942,2012,,"['Action & Adventure', 'Art House & International', 'Drama']",,,
back to burgundy,0,,58.0,,73.0,back to burgundy,2018,,"['Drama', 'Comedy']",,5564.0,
back to school,0,,68.0,2.9,86.0,back to school,1986,,"['Sport', 'Comedy', 'Romance']",,2455.0,1816.0
back to the beach,0,,,1.8,71.0,back to the beach,1987,,['Comedy'],,,3044.0
back to the future,0,8.5,87.0,4.0,96.0,back to the future,1985,,"['Adventure', 'Comedy', 'Sci-Fi']",191.0,7732.0,969.0
back to the future part ii,0,7.8,57.0,3.5,66.0,back to the future part ii,1989,,"['Adventure', 'Comedy', 'Sci-Fi']",317.0,1594.0,1486.0
back to the future part iii,0,7.4,55.0,3.4,80.0,back to the future part iii,1990,,"['Adventure', 'Comedy', 'Sci-Fi']",352.0,1515.0,1487.0
back up plan,0,,,3.0,,back up plan,2010,,"['Comedy', 'Romance']",,,7333.0
backbeat,0,,,3.5,,backbeat,1993,,"['Drama', 'Musical']",,,305.0
backcountry,0,,62.0,,92.0,backcountry,2015,,"['Drama', 'Thriller', 'Horror']",,8671.0,
backdraft,0,6.7,38.0,3.3,,backdraft,1991,,"['Action', 'Drama', 'Mystery']",381.0,675.0,2348.0
backdraft 2,0,,,,40.0,backdraft 2,2019,,['Drama'],,,
backgammon,0,,,,0.0,backgammon,2016,,"['Drama', 'Mystery & Suspense']",,,
backstabbing for beginners,0,,48.0,,38.0,backstabbing for beginners,2018,,"['Drama', 'History', 'Thriller']",,8448.0,
backstage,0,,,,31.0,backstage,2000,,"['Documentary', 'Musical & Performing Arts']",,,
backstage,1,,57.0,,,backstage,2006,,"['Drama', 'Music']",,327.0,
backtrace,0,,,,11.0,backtrace,2018,,"['Action & Adventure', 'Mystery & Suspense']",,,
backtrack,0,,43.0,,30.0,backtrack,2016,,"['Drama', 'Mystery', 'Thriller', 'Horror']",,7592.0,
backwards,0,,,,28.0,backwards,2012,,"['Drama', 'Romance', 'Sports & Fitness']",,,
bad 25,0,,65.0,,,bad 25,2012,,"['Music', 'Documentary']",,2770.0,
bad and the beautiful,0,,,4.0,,bad and the beautiful,1952,,['Drama'],,,3705.0
bad ass,0,,,,20.0,bad ass,2012,,['Action & Adventure'],,,
bad asses,0,,,3.5,,bad asses,2014,,"['Action', 'Drama']",,,8427.0
bad asses on the bayou,0,,,2.5,,bad asses on the bayou,2015,,"['Action', 'Comedy']",,,8940.0
bad blood the movie,0,,,,100.0,bad blood the movie,2017,,"['Horror', 'Science Fiction & Fantasy']",,,
bad boy bubby,0,,,4.8,,bad boy bubby,1993,,['Drama'],,,5568.0
bad boy bubby,1,,,,100.0,bad boy bubby,2005,,"['Art House & International', 'Comedy', 'Drama']",,,
bad boys,0,,,,89.0,bad boys,1982,,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",,,
bad boys,1,6.8,41.0,3.2,42.0,bad boys,1995,,"['Action', 'Comedy', 'Crime']",546.0,694.0,119.0
bad boys for life,0,6.5,,,77.0,bad boys for life,2020,,"['Action', 'Comedy', 'Crime']",2419.0,,
bad boys ii,0,6.6,38.0,2.9,23.0,bad boys ii,2003,,"['Action', 'Comedy', 'Crime']",918.0,8129.0,4427.0
bad company,0,,,,92.0,bad company,1972,,"['Action & Adventure', 'Drama', 'Western']",,,
bad company,1,,,3.2,27.0,bad company,1995,,"['Action', 'Crime', 'Drama']",,,342.0
bad company,2,,37.0,2.9,10.0,bad company,2002,,"['Action', 'Adventure', 'Thriller', 'Comedy']",,704.0,3846.0
bad day at black rock,0,,,3.5,97.0,bad day at black rock,1955,,"['Drama', 'Thriller', 'Western']",,,5092.0
