title,release_year,genres,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience
Behind Enemy Lines,2001,"['Action', 'Drama', 'Thriller']",6.4,6.2,3.2,62.0
Behind Enemy Lines II: Axis of Evil,2006,"['Action', 'Thriller', 'War']",,,2.0,37.0
Behind the Candelabra,2013,['Drama'],,,3.0,71.0
Behind the Mask: The Rise of Leslie Vernon,2006,"['Thriller', 'Horror', 'Comedy']",,8.2,4.0,75.0
Beijing Bicycle,2001,['Drama'],,7.9,4.0,
Being 17,2016,"['Drama', 'Romance']",,8.3,,75.0
Being Elmo: A Puppeteer's Journey,2011,['Documentary'],,7.1,3.5,87.0
Being Evel,2015,"['Biography', 'History', 'Documentary']",,7.1,,83.0
Being Flynn,2012,"['Drama', 'Comedy']",,6.3,,41.0
Being Frank,2019,['Comedy'],,4.1,,63.0
Being Human,1993,"['Drama', 'Fantasy', 'Comedy']",,3.3,3.0,42.0
Being John Malkovich,1999,"['Comedy', 'Drama', 'Fantasy']",7.7,8.8,4.0,87.0
Being Julia,2004,"['Drama', 'Comedy', 'Romance']",,7.3,1.8,74.0
Being There,1979,"['Drama', 'Comedy']",,7.6,4.0,92.0
Beirut,2018,"['Drama', 'Thriller']",,6.4,,56.0
Bel Ami,2012,['Drama'],,7.8,,29.0
Bella,2006,"['Drama', 'Romance']",,7.7,3.5,81.0
Belle,2014,['Drama'],,7.5,,82.0
Bellflower,2011,"['Action', 'Drama', 'Romance']",,5.7,3.5,63.0
Belly,1998,"['Crime', 'Drama']",,,1.2,87.0
Beloved,1998,"['Drama', 'Mystery']",,6.0,4.5,71.0
Beloved Sisters,2015,"['Drama', 'History', 'Romance']",,6.4,,40.0
Below,2002,"['Mystery', 'Thriller', 'Horror']",,6.6,3.5,44.0
Ben-Hur,1959,"['Action', 'Adventure', 'Drama']",,,3.9,89.0
Ben-Hur,2016,"['Action', 'Adventure', 'Drama', 'History']",,5.1,0.5,53.0
Ben Is Back,2018,['Drama'],,6.8,,70.0
Ben X,2007,['Drama'],,,3.5,80.0
Bend It Like Beckham,2002,"['Drama', 'Sport', 'Comedy', 'Romance']",,7.6,3.3,73.0
Beneath,2013,"['Thriller', 'Horror']",,7.0,,14.0
Beneath the Darkness,2012,['Thriller'],,4.9,,15.0
Beneath the Harvest Sky,2014,['Drama'],,6.8,,66.0
Beneath the Planet of the Apes,1970,"['Action', 'Adventure', 'Sci-Fi']",,5.1,2.8,38.0
Benji,1974,"['Adventure', 'Children']",,,3.8,55.0
Benji,2018,"['Drama', 'Crime', 'Family']",,9.3,,70.0
Benji: Off the Leash!,2004,"['Drama', 'Family']",,3.0,,52.0
Benji the Hunted,1987,"['Adventure', 'Children']",,,4.5,62.0
Benny & Joon,1993,"['Drama', 'Comedy', 'Romance']",,7.4,3.5,85.0
Bent,1997,"['Drama', 'War']",,,3.5,77.0
Beowulf,1999,"['Action', 'Horror', 'Sci-Fi']",,,3.0,23.0
Beowulf,2007,"['Action', 'Adventure', 'Animation']",6.3,6.3,2.6,50.0
Beowulf & Grendel,2005,"['Action', 'Adventure', 'Drama', 'Fantasy']",,7.1,2.5,
Berberian Sound Studio,2013,"['Drama', 'Thriller', 'Horror']",,7.0,,53.0
Berlin Syndrome,2017,"['Drama', 'Mystery', 'Thriller', 'Horror']",,5.9,,53.0
Bernie,2011,"['Biography', 'Comedy', 'Crime']",6.8,7.3,3.5,73.0
Best in Show,2000,['Comedy'],7.4,7.7,3.7,89.0
Best Men,1997,"['Action', 'Comedy', 'Crime', 'Drama']",,,4.0,40.0
Best Night Ever,2014,['Comedy'],,4.6,,37.0
Best of Enemies,2015,"['History', 'Documentary', 'News']",,8.0,,85.0
Best Seller,1987,['Thriller'],,,4.0,55.0
Best Worst Movie,2009,['Documentary'],,7.3,4.0,84.0
Bethlehem,2014,"['Drama', 'Thriller']",,7.5,,72.0
Betrayed,1988,"['Drama', 'Thriller']",,,2.5,52.0
Betsy's Wedding,1990,['Comedy'],,,2.0,40.0
Better Living Through Chemistry,2014,"['Drama', 'Comedy']",,5.9,1.5,38.0
Better Living Through Circuitry,1999,"['Drama', 'Music', 'Documentary']",,7.0,2.0,
Better Luck Tomorrow,2002,"['Drama', 'Crime']",,7.2,3.9,79.0
Better Off Dead...,1985,"['Comedy', 'Romance']",,7.4,3.7,
Better Than Chocolate,1999,"['Comedy', 'Romance']",,,3.0,78.0
Better Watch Out,2017,"['Thriller', 'Horror', 'Comedy']",,6.0,,65.0
Bettie Page Reveals All,2013,['Documentary'],,5.2,,61.0
Betting on Zero,2016,['Documentary'],,8.5,4.0,79.0
Beverly Hills Chihuahua,2008,"['Adventure', 'Drama', 'Comedy', 'Romance', 'Family']",,4.0,2.1,52.0
Beverly Hills Cop,1984,"['Action', 'Comedy', 'Crime']",7.4,8.5,3.4,82.0
Beverly Hills Cop II,1987,"['Action', 'Comedy', 'Crime']",6.5,6.8,2.9,57.0
Beverly Hills Cop III,1994,"['Action', 'Comedy', 'Crime']",5.5,6.1,2.7,35.0
Beverly Hills Ninja,1997,"['Action', 'Comedy']",,6.3,2.5,53.0
Bewitched,2005,"['Comedy', 'Fantasy', 'Romance']",4.8,5.5,2.3,28.0
Beyond a Reasonable Doubt,2009,"['Drama', 'Mystery', 'Thriller', 'Crime']",,6.1,,36.0
Beyond Borders,2003,"['Adventure', 'Drama', 'Romance', 'War']",,5.8,3.5,72.0
Beyond Outrage,2014,"['Action', 'Drama', 'Crime']",,6.1,,58.0
Beyond Rangoon,1995,"['Adventure', 'Drama', 'War']",,,2.4,71.0
Beyond Re-Animator,2003,['Horror'],,,3.0,39.0
Beyond Skyline,2017,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'Horror']",,5.1,,38.0
Beyond the Black Rainbow,2012,"['Sci-Fi', 'Mystery', 'Thriller']",,6.7,,52.0
Beyond the Hills,2013,['Drama'],,7.7,,81.0
Beyond the Lights,2014,['Drama'],,6.6,,75.0
Beyond the Mat,1999,"['Biography', 'Sport', 'Documentary']",,8.0,3.7,83.0
Beyond the Poseidon Adventure,1979,['Adventure'],,,2.0,22.0
Beyond the Reach,2015,['Thriller'],,4.6,,20.0
Beyond the Sea,2004,"['Biography', 'Drama', 'Music', 'Musical']",,7.1,2.0,64.0
Beyond the Valley of the Dolls,1970,"['Comedy', 'Horror']",,,3.5,72.0
Bhutto,2010,"['Biography', 'Documentary']",,7.5,,87.0
Bicentennial Man,1999,"['Drama', 'Romance', 'Sci-Fi']",6.9,7.4,2.8,58.0
Big,1988,"['Comedy', 'Drama', 'Fantasy']",7.3,8.3,3.7,82.0
Big Ass Spider!,2013,"['Sci-Fi', 'Comedy']",,6.2,,44.0
Big Bad Love,2001,['Drama'],,6.8,,70.0
Big Bad Wolves,2014,"['Thriller', 'Comedy', 'Crime']",,7.1,,69.0
Big Bully,1996,"['Comedy', 'Drama']",,,2.2,19.0
Big Business,1988,['Comedy'],,,2.3,69.0
Big Daddy,1999,"['Comedy', 'Drama']",6.4,8.2,3.2,74.0
Big Eden,2000,"['Drama', 'Romance']",,,4.5,79.0
Big Eyes,2014,"['Biography', 'Crime', 'Drama']",7.0,7.2,3.8,68.0
Big Fan,2009,"['Drama', 'Sport', 'Comedy', 'Crime']",,6.9,,62.0
Big Fat Liar,2002,"['Adventure', 'Comedy', 'Family']",,8.4,3.0,44.0
Big Fish,2003,"['Adventure', 'Drama', 'Fantasy']",8.0,8.7,3.8,89.0
Big Game,2015,"['Action', 'Adventure']",,4.6,,34.0
Big Hero 6,2014,"['Action', 'Adventure', 'Animation']",7.8,7.9,3.9,91.0
Big Miracle,2012,"['Drama', 'Romance']",,6.1,,64.0
Big Momma's House,2000,"['Action', 'Comedy', 'Crime']",5.2,6.5,2.2,57.0
Big Momma's House 2,2006,"['Action', 'Thriller', 'Comedy']",,5.3,2.0,58.0
"Big Mommas: Like Father, Like Son",2011,['Comedy'],,5.6,1.0,58.0
Big Night,1996,['Drama'],,8.5,4.2,84.0
Big Stone Gap,2015,"['Comedy', 'Romance']",,4.1,,53.0
Big Sur,2013,['Drama'],,3.8,,38.0
Big Top Pee-Wee,1988,"['Adventure', 'Children', 'Comedy']",,,1.9,30.0
Big Trouble,2002,"['Thriller', 'Comedy', 'Crime']",,9.1,2.2,54.0
Big Trouble in Little China,1986,"['Action', 'Adventure', 'Comedy']",7.2,8.4,3.9,82.0
Big Wednesday,1978,"['Comedy', 'Drama']",,,3.0,87.0
Bigger Stronger Faster*,2008,"['Sport', 'Documentary']",,7.2,3.5,81.0
Bigger Than the Sky,2005,"['Drama', 'Comedy', 'Romance']",,6.9,,53.0
Biggie and Tupac,2002,"['Biography', 'Crime', 'Music', 'Documentary']",,7.1,,73.0
Biker Boyz,2003,"['Action', 'Crime', 'Drama']",,,2.0,54.0
Bill Burr: I'm Sorry You Feel That Way,2014,['Comedy'],,,4.5,94.0
Bill Cunningham New York,2011,"['Biography', 'Documentary']",,7.8,4.5,92.0
Bill & Ted's Bogus Journey,1991,"['Adventure', 'Comedy', 'Fantasy']",6.3,8.4,3.1,56.0
Bill & Ted's Excellent Adventure,1989,"['Adventure', 'Comedy', 'Music']",6.9,8.6,3.7,
Billy Bathgate,1991,"['Crime', 'Drama']",,,2.0,28.0
Billy Elliot,2000,"['Drama', 'Music']",7.7,7.4,3.9,89.0
Billy Jack,1971,"['Action', 'Drama']",,,2.7,63.0
Billy Jack Goes to Washington,1977,['Drama'],,,2.0,37.0
Billy Liar,1963,['Comedy'],,,3.5,84.0
Billy Lynn's Long Halftime Walk,2016,"['Drama', 'History', 'Comedy', 'War']",,5.9,,41.0
Billy Madison,1995,['Comedy'],6.3,6.5,3.3,79.0
Biloxi Blues,1988,"['Comedy', 'Drama']",,,3.5,62.0
Bio-Dome,1996,['Comedy'],,,2.5,51.0
Bird Box,2018,"['Sci-Fi', 'Drama', 'Thriller', 'Horror']",,5.8,,57.0
Bird on a Wire,1990,"['Action', 'Comedy', 'Romance']",,,2.3,41.0
Bird People,2014,"['Drama', 'Fantasy', 'Romance']",,7.0,,40.0
Birdman of Alcatraz,1962,['Drama'],,,4.0,84.0
Birdman or (The Unexpected Virtue of Ignorance),2014,"['Comedy', 'Drama']",7.7,8.2,3.3,
Birds of Prey,2020,"['Action', 'Comedy', 'Crime']",6.1,,,78.0
Birdy,1984,"['Drama', 'War']",,,3.5,84.0
Birth,2004,"['Drama', 'Mystery', 'Thriller', 'Romance']",,6.5,2.5,43.0
Birth of the Dragon,2017,"['Action', 'Biography', 'Drama']",,4.5,,68.0
Birth of the Living Dead,2013,['Documentary'],,7.3,,72.0
Birthday Girl,2001,"['Thriller', 'Comedy', 'Romance', 'Crime']",,8.8,2.8,39.0
Bitter Harvest,2017,"['Drama', 'Romance', 'War']",,6.6,,67.0
Bitter Moon,1992,"['Drama', 'Film-Noir', 'Romance']",,,3.5,81.0
Biutiful,2010,['Drama'],,7.2,4.2,74.0
Black '47,2018,"['Action', 'Drama']",,7.1,,76.0
Black Beauty,1994,"['Adventure', 'Children', 'Drama']",,,3.2,75.0
Black Book,2006,"['Drama', 'Thriller', 'War']",7.7,8.0,2.5,87.0
Black Butterfly,2017,['Thriller'],,5.3,,41.0
"Black Cat, White Cat",1998,"['Comedy', 'Romance', 'Music']",,8.0,3.9,
Black Christmas,1974,"['Horror', 'Mystery', 'Thriller']",,,3.5,75.0
Black Christmas,2006,"['Thriller', 'Horror']",,4.7,2.0,37.0
Black Death,2011,"['Adventure', 'Drama', 'Mystery', 'Horror']",,6.7,,49.0
Black Dynamite,2009,"['Action', 'Comedy']",7.4,8.5,3.5,85.0
Black Hawk Down,2001,"['Action', 'Drama', 'History']",7.7,8.0,3.8,88.0
Black Knight,2001,"['Adventure', 'Comedy', 'Fantasy']",,,2.2,34.0
Black Mass,2015,"['Biography', 'Crime', 'Drama']",6.9,7.6,2.5,68.0
Black Narcissus,1947,['Drama'],,,4.0,88.0
Black Nativity,2013,"['Drama', 'Musical']",,5.3,,51.0
Black or White,2015,['Drama'],,7.4,,65.0
Black Orpheus (Orfeu Negro),1959,"['Drama', 'Romance']",,,4.0,86.0
Black Panther,2017,"['Action', 'Adventure', 'Sci-Fi']",7.3,6.4,3.7,79.0
Black Rain,1989,"['Action', 'Crime', 'Drama']",6.6,7.4,3.0,
Black Robe,1991,"['Adventure', 'Drama']",,,3.3,75.0
Black Rock,2013,"['Thriller', 'Horror']",,4.4,,24.0
Black Sea,2015,"['Adventure', 'Thriller']",,6.7,4.0,59.0
Black Sheep,1996,['Comedy'],,,3.2,70.0
Black Sheep,2006,"['Horror', 'Comedy']",,5.7,2.3,53.0
Black Snake Moan,2006,"['Drama', 'Music']",6.9,7.2,3.5,69.0
Black Swan,2010,"['Drama', 'Thriller']",8.0,8.1,3.6,84.0
Black Widow,1987,"['Crime', 'Drama', 'Mystery', 'Thriller']",,,2.5,40.0
Blackbeard's Ghost,1968,"['Children', 'Comedy']",,,3.7,72.0
Blackboard Jungle,1955,['Drama'],,,3.2,77.0
Blackfish,2013,"['Drama', 'Documentary']",,8.3,3.0,90.0
Blackhat,2015,"['Action', 'Crime', 'Thriller']",5.5,5.3,2.5,24.0
BlacKkKlansman,2018,"['Biography', 'Comedy', 'Crime']",7.5,7.4,2.5,83.0
Blackthorn,2011,['Western'],,6.3,,61.0
Blade,1998,"['Action', 'Horror', 'Sci-Fi']",7.1,8.7,3.4,78.0
Blade II,2002,"['Action', 'Horror', 'Sci-Fi']",6.7,8.7,3.2,68.0
Blade of the Immortal,2017,"['Action', 'Drama']",,6.8,,69.0
Blade Runner,1982,"['Action', 'Drama', 'Sci-Fi']",8.1,8.7,4.1,91.0
Blade Runner 2049,2017,"['Action', 'Drama', 'Mystery']",8.0,,3.8,81.0
Blade: Trinity,2004,"['Action', 'Horror', 'Sci-Fi']",5.8,2.7,2.9,59.0
Blades of Glory,2007,"['Comedy', 'Sport']",6.3,6.9,3.1,68.0
Blair Witch,2016,"['Thriller', 'Horror']",,4.7,3.5,31.0
Blame,2018,['Drama'],,8.3,,68.0
Blame It on Rio,1984,"['Comedy', 'Romance']",,,3.2,39.0
Blame It on the Bellboy,1992,['Comedy'],,,2.0,40.0
Blancanieves,2013,"['Drama', 'Fantasy']",,7.8,,84.0
Blank Check,1994,"['Children', 'Comedy']",,,2.2,34.0
Blankman,1994,['Comedy'],,,1.5,40.0
Blast from the Past,1999,"['Comedy', 'Drama', 'Romance']",6.7,7.7,3.1,56.0
Blaze,1989,"['Comedy', 'Drama']",,,2.0,47.0
Blaze,2018,"['Biography', 'Drama', 'Music']",,5.6,,68.0
Blazing Saddles,1974,"['Comedy', 'Western']",7.7,8.0,3.9,91.0
Bleed for This,2016,"['Biography', 'Drama', 'Sport']",,6.7,,69.0
Bleeding Steel,2018,"['Action', 'Sci-Fi', 'Thriller']",,5.6,,23.0
Blended,2014,"['Comedy', 'Romance']",6.5,5.2,3.8,64.0
"Bless Me, Ultima",2013,"['Drama', 'War']",,5.9,,73.0
Bless the Child,2000,"['Thriller', 'Horror']",,1.1,4.0,43.0
Blind,2015,['Drama'],,7.7,,74.0
Blind,2017,"['Drama', 'Romance']",,5.2,,42.0
Blind Date,1987,"['Comedy', 'Romance']",,,2.4,42.0
Blind Fury,1989,"['Action', 'Thriller']",,,3.2,51.0
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin),2002,['Documentary'],,,3.0,72.0
Blinded by the Light,2019,"['Biography', 'Drama', 'Comedy', 'Music', 'Musical']",,6.6,,91.0
Blindness,2008,"['Drama', 'Mystery', 'Thriller']",6.5,6.0,3.5,47.0
Blindspotting,2018,"['Drama', 'Comedy', 'Crime']",,7.6,,87.0
Blink,1994,['Thriller'],,,3.2,45.0
Bliss,1997,"['Drama', 'Romance']",,,3.0,54.0
Blockers,2018,"['Comedy', 'Drama']",6.2,6.2,3.0,50.0
Blood and Chocolate,2007,"['Drama', 'Fantasy', 'Horror', 'Romance']",,5.4,2.0,52.0
Blood and Wine (Blood & Wine),1996,"['Crime', 'Drama', 'Thriller']",,,2.3,35.0
Blood Creek (a.k.a. Town Creek),2009,['Horror'],,,3.0,30.0
Blood Diamond,2006,"['Adventure', 'Drama', 'Thriller']",8.0,8.7,3.8,90.0
Blood Father,2016,"['Action', 'Crime', 'Drama']",6.4,6.6,,63.0
Blood Feast,1963,['Horror'],,,4.0,44.0
Blood Simple,1984,"['Crime', 'Drama', 'Thriller']",7.6,8.4,4.0,88.0
Blood: The Last Vampire,2009,"['Action', 'Thriller', 'Fantasy', 'Horror']",,6.1,2.0,33.0
Blood Ties,2014,"['Drama', 'Thriller', 'Crime']",,6.8,,39.0
Blood Work,2002,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",,8.1,3.3,40.0
BloodRayne,2006,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Comedy']",,7.6,,17.0
Bloodshot,2020,"['Action', 'Adventure', 'Sci-Fi']",5.7,,,78.0
Bloodsport,1988,"['Action', 'Biography', 'Drama']",6.8,,2.9,74.0
Bloodsucking Bastards,2015,"['Horror', 'Comedy']",,5.6,5.0,48.0
Bloody Sunday,2002,"['Drama', 'History', 'War']",,8.5,3.6,91.0
Blow,2001,"['Biography', 'Crime', 'Drama']",7.5,8.8,3.8,87.0
Blow Out,1981,"['Crime', 'Drama', 'Mystery']",7.4,,3.6,82.0
Blow-Up (Blowup),1966,"['Drama', 'Mystery']",,,3.7,84.0
Blown Away,1994,"['Action', 'Thriller']",,,2.8,40.0
Blue Caprice,2013,"['Drama', 'Crime']",,6.9,,51.0
Blue Car,2002,['Drama'],,7.6,3.5,65.0
Blue Chips,1994,['Drama'],,,1.8,51.0
Blue Collar Comedy Tour: The Movie,2003,"['Comedy', 'Documentary']",,,3.0,79.0
Blue Crush,2002,"['Drama', 'Sport', 'Romance']",,4.5,2.7,58.0
Blue in the Face,1995,['Comedy'],,7.0,3.3,76.0
Blue Is the Warmest Color,2013,"['Drama', 'Romance']",,7.8,3.2,85.0
Blue Jasmine,2013,"['Comedy', 'Drama']",7.3,7.7,3.4,77.0
Blue Jay,2016,['Drama'],,7.8,,77.0
Blue Like Jazz,2012,"['Drama', 'Comedy']",,6.1,,63.0
Blue Ruin,2013,"['Crime', 'Drama', 'Thriller']",7.1,7.5,4.0,79.0
Blue Sky,1994,"['Drama', 'Romance']",,,3.8,58.0
Blue Steel,1990,"['Action', 'Thriller']",,,1.5,35.0
Blue Streak,1999,"['Action', 'Comedy', 'Crime']",6.3,8.7,2.6,65.0
Blue Thunder,1983,"['Action', 'Sci-Fi', 'Drama', 'Thriller', 'Crime']",,7.4,3.0,52.0
Blue Valentine,2010,"['Drama', 'Romance']",7.3,6.9,2.8,77.0
Blue Velvet,1986,"['Crime', 'Drama', 'Mystery']",7.7,7.9,3.9,88.0
Blues Brothers 2000,1997,"['Action', 'Comedy', 'Musical']",,,2.7,37.0
Blumhouse's Truth or Dare,2018,"['Thriller', 'Horror']",,4.0,,22.0
BMX Bandits,1983,"['Adventure', 'Crime', 'Drama']",,,3.0,55.0
Boarding Gate,2008,"['Drama', 'Thriller']",,6.5,,20.0
Boat Trip,2003,['Comedy'],,3.2,2.4,36.0
Bob & Carol & Ted & Alice,1969,"['Comedy', 'Drama']",,,3.5,65.0
Bob Roberts,1992,"['Drama', 'Comedy']",,7.0,3.4,
Bobby,2006,"['Drama', 'History', 'Comedy']",,6.3,3.8,72.0
Bobby Fischer Against the World,2011,"['Biography', 'Sport', 'Documentary']",,8.2,,86.0
"Bobby Jones, Stroke of Genius",2004,['Drama'],,,2.5,61.0
Boccaccio '70,1962,"['Comedy', 'Fantasy', 'Romance']",,,4.0,78.0
Bodied,2018,"['Drama', 'Comedy', 'Music']",,8.0,,86.0
Body,2015,"['Drama', 'Thriller']",,4.9,1.0,
Body at Brighton Rock,2019,['Thriller'],,3.7,,18.0
Body Double,1984,"['Mystery', 'Thriller']",,7.2,2.5,65.0
Body Heat,1981,"['Drama', 'Thriller', 'Crime']",,8.7,4.0,
Body of Evidence,1992,"['Drama', 'Thriller']",,,1.0,22.0
Body of Lies,2008,"['Action', 'Drama', 'Thriller']",7.0,7.1,3.8,62.0
Body of War,2008,"['War', 'Documentary']",,8.5,,82.0
Body Parts,1991,"['Horror', 'Thriller']",,,1.0,33.0
Body Shots,1999,['Drama'],,9.1,3.0,27.0
Body Snatchers,1993,"['Sci-Fi', 'Horror']",,7.3,3.1,38.0
Bogus,1996,"['Children', 'Drama', 'Fantasy']",,,2.5,45.0
Bohemian Rhapsody,2018,"['Biography', 'Drama', 'Music']",7.9,7.7,,85.0
Boiler Room,2000,"['Crime', 'Drama', 'Thriller']",7.0,2.3,3.7,78.0
Boiling Point,1993,"['Action', 'Drama']",,,3.0,21.0
Bokeh,2017,"['Sci-Fi', 'Drama']",,5.2,,24.0
Bollywood/Hollywood,2002,"['Drama', 'Comedy', 'Romance', 'Musical']",,8.7,2.5,
Bolt,2008,"['Adventure', 'Animation', 'Comedy']",6.8,8.3,3.4,74.0
Bombshell,2019,"['Biography', 'Drama']",6.8,,,84.0
Bombshell: The Hedy Lamarr Story,2017,"['Biography', 'History', 'War', 'Documentary']",,8.1,,85.0
Bone Tomahawk,2015,"['Drama', 'Horror', 'Western']",7.1,7.2,4.5,73.0
Bones,2001,"['Horror', 'Crime']",,7.5,1.7,40.0
Bonnie and Clyde,1967,"['Crime', 'Drama']",,,4.1,88.0
Boogeyman,2005,"['Drama', 'Mystery', 'Thriller', 'Horror']",,3.8,2.0,21.0
Boogie Nights,1997,['Drama'],7.9,4.6,4.1,89.0
Book Club,2018,"['Drama', 'Comedy', 'Romance']",,4.9,,51.0
Book of Shadows: Blair Witch 2,2000,"['Mystery', 'Thriller', 'Horror', 'Crime']",,3.3,1.1,18.0
Booksmart,2019,['Comedy'],7.1,4.3,,77.0
Boomerang,1992,"['Comedy', 'Romance']",,6.4,2.7,59.0
Bootmen,2000,"['Drama', 'Comedy', 'Romance']",,7.7,,68.0
Booty Call,1997,"['Comedy', 'Romance']",,,2.6,59.0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,['Comedy'],,7.3,3.3,79.0
Border,2018,"['Drama', 'Thriller', 'Fantasy', 'Romance']",,6.4,,76.0
Borg vs. McEnroe,2018,"['Biography', 'Drama', 'Sport']",,6.8,,74.0
Borgman,2014,"['Drama', 'Thriller']",,6.5,,69.0
Born Free,1966,"['Adventure', 'Children', 'Drama']",,,4.0,86.0
Born into Brothels,2004,['Documentary'],,,3.9,91.0
Born on the Fourth of July,1989,"['Biography', 'Drama', 'War']",7.2,7.6,3.5,76.0
Born to be Blue,2016,"['Biography', 'Drama', 'Music', 'Musical']",,6.6,,73.0
Born to Be Wild,1995,"['Adventure', 'Children', 'Comedy', 'Drama']",,,0.5,48.0
Born to Be Wild,2011,['Documentary'],,7.8,,84.0
Born to Kill,1947,"['Crime', 'Drama', 'Film-Noir']",,,4.0,75.0
Born Yesterday,1950,['Comedy'],,,4.3,86.0
Bottle Rocket,1996,"['Comedy', 'Crime', 'Drama']",6.9,8.7,3.8,80.0
Bottle Shock,2008,"['Drama', 'Comedy']",,5.9,,58.0
Bottom of the 9th,2019,['Drama'],,5.8,,69.0
Boulevard,2015,['Drama'],,5.9,,30.0
Bounce,2000,"['Drama', 'Romance']",,8.8,2.4,32.0
Bound,1996,"['Crime', 'Thriller']",7.3,8.6,4.0,82.0
Boundaries,2018,"['Drama', 'Comedy']",,4.7,2.5,
Bowfinger,1999,['Comedy'],6.5,8.8,3.0,61.0
Bowling for Columbine,2002,"['Crime', 'Documentary', 'Drama']",8.0,7.1,3.8,83.0
Boxcar Bertha,1972,['Drama'],,,1.5,33.0
Boxing Helena,1993,"['Drama', 'Mystery', 'Thriller', 'Romance']",,6.4,2.5,
Boy,2012,"['Drama', 'Comedy']",,7.5,,86.0
Boy A,2007,"['Drama', 'Romance', 'Crime']",,8.1,4.0,87.0
Boy and the World,2015,"['Adventure', 'Animation', 'Family']",,8.1,,77.0
Boy Culture,2007,['Drama'],,6.9,,70.0
Boy Erased,2018,"['Biography', 'Drama']",,7.1,,74.0
Boy Meets Girl,1984,['Drama'],,,3.0,73.0
Boy Meets Girl,2015,"['Comedy', 'Drama', 'Romance']",,,4.0,80.0
Boyhood,2014,['Drama'],7.9,7.7,3.8,81.0
Boynton Beach Club,2006,"['Comedy', 'Romance']",,6.5,,42.0
Boys and Girls,2000,"['Drama', 'Comedy', 'Romance']",,7.0,2.0,50.0
Boys Don't Cry,1999,"['Biography', 'Crime', 'Drama']",7.5,7.6,3.6,87.0
Boys on the Side,1995,"['Comedy', 'Drama']",,,3.4,69.0
Boys Town,1938,['Drama'],,,3.5,81.0
Boyz n the Hood,1991,"['Crime', 'Drama']",7.8,8.8,3.7,93.0
Brad's Status,2017,"['Drama', 'Comedy', 'Music']",,6.6,,55.0
Brainstorm,1983,"['Sci-Fi', 'Thriller']",,,3.5,56.0
Brake,2012,"['Action', 'Thriller', 'Crime']",,4.8,2.0,40.0
Branded to Kill (Koroshi no rakuin),1967,"['Action', 'Crime', 'Drama']",,,5.0,84.0
Brave,2012,"['Action', 'Adventure', 'Animation']",7.1,7.2,3.5,75.0
Braveheart,1995,"['Biography', 'Drama', 'History']",8.3,8.7,4.0,85.0
Braven,2018,"['Action', 'Drama']",,5.7,,76.0
Bravetown,2015,"['Drama', 'Music']",,4.1,,47.0
Brawl in Cell Block 99,2017,"['Action', 'Drama', 'Thriller', 'Crime']",,7.2,,74.0
Brazil,1985,"['Drama', 'Sci-Fi', 'Thriller']",7.9,8.9,4.2,
Breach,2007,"['Drama', 'Mystery', 'Thriller', 'Crime']",,7.3,3.6,67.0
Bread and Roses,2000,['Drama'],,7.5,4.0,
Breakdown,1997,"['Crime', 'Drama', 'Mystery']",7.0,8.8,3.3,67.0
Breaker Morant,1980,"['Drama', 'History', 'War']",,7.2,3.9,91.0
Breakfast at Tiffany's,1961,"['Drama', 'Romance']",,,3.8,91.0
Breakfast on Pluto,2005,"['Drama', 'Comedy']",,7.6,3.9,80.0
Breakfast with Scot,2007,"['Drama', 'Sport', 'Romance', 'Music']",,6.8,3.5,64.0
Breakin' 2: Electric Boogaloo,1984,"['Drama', 'Comedy', 'Musical']",,5.5,1.7,
Breakin' All the Rules,2004,"['Comedy', 'Romance']",,,3.5,57.0
Breaking and Entering,2006,"['Drama', 'Thriller', 'Romance']",,7.0,,52.0
Breaking Away,1979,"['Drama', 'Sport', 'Comedy', 'Romance']",,8.8,4.1,88.0
Breaking In,2018,"['Action', 'Drama', 'Thriller', 'Crime']",,3.9,,32.0
Breaking the Girls,2013,"['Thriller', 'Crime']",,4.2,,29.0
Breaking the Waves,1996,"['Drama', 'Romance']",,8.1,4.1,91.0
Breaking Upwards,2010,['Romance'],,5.6,,57.0
Breakthrough,2019,"['Biography', 'Drama']",,6.6,,79.0
Breathe,2014,['Drama'],,6.4,1.0,78.0
Breathe,2017,"['Biography', 'Drama', 'Romance']",,6.3,,71.0
Breathe In,2014,"['Drama', 'Romance']",,6.6,,41.0
Breathless (À bout de souffle),1960,"['Crime', 'Drama', 'Romance']",,,3.9,90.0
Brewster's Millions,1985,['Comedy'],,,2.9,55.0
Brian Banks,2019,"['Biography', 'Drama', 'Sport']",,5.2,,97.0
Brick,2005,"['Crime', 'Drama', 'Mystery']",7.2,7.5,3.9,86.0
Brick Lane,2008,['Drama'],,5.8,,60.0
Brick Mansions,2014,"['Action', 'Drama', 'Crime']",,5.5,1.5,47.0
Bride Flight,2011,['Drama'],,6.0,,75.0
Bride of Chucky,1998,"['Comedy', 'Horror', 'Thriller']",5.6,7.1,2.2,46.0
Bride of Re-Animator,1990,"['Comedy', 'Horror']",,,4.0,45.0
