norm_title,year_cluster,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience,title,release_year,genres_any
cold comfort farm,1,,8.3,3.5,82.0,Cold Comfort Farm,1995,"['Comedy', 'Romance']"
cold creek manor,1,,7.8,2.5,23.0,Cold Creek Manor,2003,"['Drama', 'Mystery', 'Thriller']"
cold fever,1,,,3.0,,Cold Fever (Á köldum klaka),1995,"['Comedy', 'Drama']"
cold fish,1,,,4.5,75.0,Cold Fish (Tsumetai nettaigyo),2010,"['Drama', 'Thriller']"
cold in july,1,,7.3,2.5,67.0,Cold in July,2014,"['Drama', 'Thriller', 'Crime']"
cold moon,1,,,,34.0,Cold Moon,2017,['Mystery & Suspense']
cold mountain,1,7.2,5.6,3.3,77.0,Cold Mountain,2003,"['Adventure', 'Drama', 'Romance']"
cold november,1,,,,63.0,Cold November,2018,['Drama']
cold pursuit,1,6.2,6.0,,49.0,Cold Pursuit,2019,"['Action', 'Comedy', 'Crime']"
cold skin,1,,,,56.0,Cold Skin,2018,"['Mystery & Suspense', 'Science Fiction & Fantasy']"
cold souls,1,,5.8,,54.0,Cold Souls,2009,"['Drama', 'Comedy']"
cold sweat,1,,,,42.0,Cold Sweat (Sudor frío),,"['Art House & International', 'Horror', 'Mystery & Suspense']"
cold turkey,1,,,,65.0,Cold Turkey,1971,['Comedy']
cold turkey,2,,,,37.0,Cold Turkey,2013,['Drama']
cold war,1,,7.9,,,Cold War,2018,"['Drama', 'Romance', 'Music']"
cold war 2,1,,,,57.0,Cold War 2,2016,"['Action & Adventure', 'Mystery & Suspense']"
cold weather,1,,5.0,,52.0,Cold Weather,2011,['Drama']
coldwater,1,,7.3,,60.0,Coldwater,2014,"['Drama', 'Thriller']"
colette,1,,7.1,,69.0,Colette,2018,"['Biography', 'Drama', 'History']"
collaborator,1,,5.6,,61.0,Collaborator,2012,"['Drama', 'Comedy']"
collapse,1,,8.0,,83.0,Collapse,2009,['Documentary']
collateral,1,7.5,8.8,3.8,84.0,Collateral,2004,"['Action', 'Crime', 'Drama']"
collateral beauty,1,6.8,6.1,,64.0,Collateral Beauty,2016,"['Drama', 'Romance']"
collateral damage,1,5.5,7.6,2.8,27.0,Collateral Damage,2002,"['Action', 'Drama', 'Thriller']"
collector,1,,,0.5,,"Collector, The",1965,"['Drama', 'Horror', 'Thriller']"
collector,2,,,3.5,,"Collector, The (La collectionneuse)",1967,['Drama']
collector,3,,,3.5,,"Collector, The",2009,"['Crime', 'Horror', 'Thriller']"
college,1,,,3.5,73.0,College,1927,['Comedy']
college,2,,3.2,,27.0,College,2008,['Comedy']
college road trip,1,,6.6,4.5,50.0,College Road Trip,2008,"['Adventure', 'Drama', 'Comedy', 'Family']"
collide,1,,7.4,,34.0,Collide,2017,"['Action', 'Thriller', 'Crime']"
colliding dreams,1,,7.9,,62.0,Colliding Dreams,2016,"['Biography', 'History', 'Documentary', 'News']"
collision course,1,,,1.5,,Collision Course,1989,"['Action', 'Comedy', 'Thriller']"
colma the musical,1,,,,69.0,Colma: The Musical,2006,"['Comedy', 'Drama', 'Musical & Performing Arts']"
colombiana,1,6.4,5.5,2.5,67.0,Colombiana,2011,"['Action', 'Drama', 'Thriller']"
colonel chabert le,1,,,4.5,,"Colonel Chabert, Le",1994,"['Drama', 'Romance', 'War']"
colonia,1,7.0,7.1,1.5,61.0,Colonia,2015,"['Biography', 'Drama', 'History']"
color me kubrick,1,,5.7,,42.0,Color Me Kubrick,2007,"['Drama', 'Comedy']"
color of freedom,1,,,,44.0,Color of Freedom,2007,['Drama']
color of money,1,,,3.5,,"Color of Money, The",1986,['Drama']
color of night,1,,,2.6,30.0,Color of Night,1994,"['Drama', 'Thriller']"
color out of space,1,6.2,,,82.0,Color Out of Space,2019,"['Horror', 'Mystery', 'Sci-Fi']"
color purple,1,,,3.9,,"Color Purple, The",1985,['Drama']
colors,1,,8.3,3.3,72.0,Colors,1988,"['Drama', 'Crime']"
colossal,1,6.2,6.2,,59.0,Colossal,2016,"['Comedy', 'Drama', 'Fantasy']"
colourful,1,,,5.0,,Colourful (Karafuru),2010,"['Animation', 'Drama', 'Fantasy', 'Mystery']"
columbus,1,,7.3,,,Columbus,2017,"['Drama', 'Comedy', 'Romance']"
coma,1,,,3.7,66.0,Coma,1978,['Thriller']
comandante,1,,,4.0,,Comandante,2003,['Documentary']
combat obscura,1,,8.5,,,Combat Obscura,2019,['Documentary']
combat shock,1,,,,65.0,Combat Shock (Fuerza en combate),1986,"['Action & Adventure', 'Drama', 'Horror']"
come and find me,1,,6.0,,33.0,Come and Find Me,2016,"['Drama', 'Thriller']"
come and see,1,,,5.0,95.0,Come and See (Idi i smotri),1985,"['Drama', 'War']"
come as you are,1,,,,79.0,Come As You Are,2020,['Comedy']
come back little sheba,1,,,4.0,80.0,"Come Back, Little Sheba",1952,['Drama']
come back to me,1,,,,36.0,Come Back To Me,2014,"['Horror', 'Mystery & Suspense']"
come early morning,1,,7.5,,,Come Early Morning,2006,"['Drama', 'Romance']"
come out and play,1,,4.8,,23.0,Come Out and Play,2013,['Horror']
come see the paradise,1,,,1.0,73.0,Come See the Paradise,1990,"['Drama', 'Romance']"
come sunday,1,,,,60.0,Come Sunday,,['Drama']
come to daddy,1,,,,75.0,Come to Daddy,2020,"['Comedy', 'Drama', 'Mystery & Suspense']"
come undone,1,,8.2,,67.0,Come Undone,2000,"['Drama', 'Romance']"
come undone,2,,,,50.0,Come Undone (Cosa voglio di più),2010,"['Art House & International', 'Comedy', 'Drama']"
come what may,1,,,,56.0,Come What May,2016,['Drama']
comebacks,1,,,0.8,,"Comebacks, The",2007,['Comedy']
comedian,1,,7.4,3.0,69.0,Comedian,2002,['Documentary']
comedy central roast of david hasselhoff,1,,,4.0,,Comedy Central Roast of David Hasselhoff,2010,['Comedy']
comedy central roast of james franco,1,,,3.0,,Comedy Central Roast of James Franco,2013,['Comedy']
comedy of power,1,,8.0,,,Comedy of Power,2007,['Drama']
comedy of the strict regime,1,,,4.5,,Comedy of the Strict Regime,1993,['Comedy']
comes a bright day,1,,,,34.0,Comes A Bright Day,,"['Art House & International', 'Drama', 'Mystery & Suspense', 'Romance']"
comes a horseman,1,,,,54.0,Comes a Horseman,1978,"['Action & Adventure', 'Drama', 'Western', 'Romance']"
comet,1,,8.6,,52.0,Comet,2014,"['Sci-Fi', 'Drama', 'Comedy', 'Romance']"
comic book confidential,1,,,,62.0,Comic Book Confidential,1999,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
comic book the movie,1,,,2.5,39.0,Comic Book: The Movie,2004,['Comedy']
comic book villains,1,,,2.2,,Comic Book Villains,2002,['Comedy']
comic con episode iv a fan s hope,1,,7.6,2.0,79.0,Comic-Con Episode IV: A Fan's Hope,2011,['Documentary']
coming 2 america,1,5.3,,,,Coming 2 America,2021,"['Comedy', 'Music']"
coming home,1,,,3.3,,Coming Home,1978,"['Drama', 'War']"
coming home,2,,7.2,,,Coming Home,2015,['Drama']
coming soon,1,,,,26.0,Coming Soon,1999,"['Comedy', 'Drama', 'Romance']"
coming through the rye,1,,6.4,,65.0,Coming Through The Rye,2016,['Drama']
coming to america,1,7.1,8.5,3.5,85.0,Coming to America,1988,"['Comedy', 'Romance']"
coming to my senses,1,,,,57.0,Coming to My Senses,,['Documentary']
coming up roses,1,,,,71.0,Coming Up Roses,2012,['Drama']
commandments,1,,,,36.0,Commandments,1997,"['Comedy', 'Drama', 'Faith & Spirituality']"
commando,1,6.7,7.6,3.5,67.0,Commando,1985,"['Action', 'Adventure', 'Thriller']"
comme un chef,1,,,3.5,,Comme un chef,2012,['Comedy']
commitment,1,,,,58.0,Commitment,2013,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
commitments,1,,,3.9,,"Commitments, The",1991,"['Comedy', 'Drama', 'Musical']"
committed,1,,8.5,,35.0,Committed,2000,"['Drama', 'Comedy']"
common thread a k sequins,1,,,4.5,,"Common Thread, A (a.k.a. Sequins) (Brodeuses)",2004,"['Drama', 'Romance']"
commune,1,,,,46.0,Commune,2006,"['Documentary', 'Special Interest']"
communion,1,,,3.5,,Communion,1989,"['Drama', 'Sci-Fi', 'Thriller']"
compadres,1,,,,51.0,Compadres,2016,"['Action & Adventure', 'Comedy']"
company,1,,,3.0,,"Company, The",2003,"['Drama', 'Musical']"
company man,1,,7.2,2.0,44.0,Company Man,2000,['Comedy']
company men,1,,,2.5,,"Company Men, The",2010,['Drama']
company of wolves,1,,,2.0,,"Company of Wolves, The",1984,"['Fantasy', 'Horror']"
competition,1,,,3.8,,"Competition, The",1980,"['Drama', 'Romance']"
complete unknown,1,,6.2,,24.0,Complete Unknown,2016,"['Drama', 'Mystery', 'Thriller']"
compliance,1,,6.5,,60.0,Compliance,2012,"['Drama', 'Thriller', 'Crime']"
compulsion,1,,,,86.0,Compulsion,1959,"['Classics', 'Drama', 'Mystery & Suspense']"
computer chess,1,,7.4,,53.0,Computer Chess,2013,['Comedy']
computer wore tennis shoes,1,,,2.9,,"Computer Wore Tennis Shoes, The",1969,"['Children', 'Comedy']"
comradeship,1,,,,79.0,Comradeship (Kameradschaft),1931,"['Art House & International', 'Drama']"
con air,1,6.9,8.6,3.0,75.0,Con Air,1997,"['Action', 'Crime', 'Thriller']"
con artist,1,,,,85.0,Con Artist,2010,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
conan o brien can t stop,1,,6.4,,68.0,Conan O'Brien Can't Stop,2011,['Documentary']
conan the barbarian,1,6.9,8.0,3.3,74.0,Conan the Barbarian,1982,"['Action', 'Adventure', 'Fantasy']"
conan the barbarian,2,5.1,5.2,1.8,30.0,Conan the Barbarian,2011,"['Action', 'Adventure', 'Fantasy']"
conan the destroyer,1,5.9,,3.1,38.0,Conan the Destroyer,1984,"['Action', 'Adventure', 'Fantasy']"
conception,1,,,2.5,,Conception,2011,"['Comedy', 'Romance']"
concerning violence,1,,,,71.0,Concerning Violence,2014,"['Documentary', 'Special Interest']"
concert for george,1,,7.1,,,Concert for George,2003,"['Music', 'Documentary']"
concert le,1,,,3.0,,"Concert, Le",2009,"['Comedy', 'Drama']"
concussion,1,,6.2,,58.0,Concussion,2013,['Drama']
concussion,2,7.1,6.2,2.5,74.0,Concussion,2015,"['Biography', 'Drama', 'Sport']"
condo painting,1,,4.8,,,Condo Painting,2000,['Documentary']
condorman,1,,,3.3,65.0,Condorman,1981,"['Action', 'Adventure', 'Children', 'Comedy']"
coneheads,1,5.4,,2.4,37.0,Coneheads,1993,"['Comedy', 'Sci-Fi']"
confessions,1,,,4.0,,Confessions (Kokuhaku),2010,"['Drama', 'Horror']"
confessions of a burning man,1,,3.7,,60.0,Confessions of a Burning Man,2003,['Documentary']
confessions of a dangerous mind,1,7.0,8.6,3.6,75.0,Confessions of a Dangerous Mind,2002,"['Biography', 'Comedy', 'Crime']"
confessions of a shopaholic,1,,5.1,3.5,49.0,Confessions of a Shopaholic,2009,"['Comedy', 'Romance']"
confessions of a superhero,1,,,,73.0,Confessions of a Superhero,2007,"['Documentary', 'Special Interest']"
confessions of a teenage drama queen,1,,6.3,2.4,35.0,Confessions of a Teenage Drama Queen,2004,"['Comedy', 'Romance', 'Music', 'Family']"
confetti,1,,5.7,,48.0,Confetti,2006,"['Comedy', 'Romance']"
confidence,1,,8.9,2.8,70.0,Confidence,2003,"['Thriller', 'Crime']"
confidential report,1,,,3.5,,Confidential Report,1955,"['Crime', 'Drama', 'Mystery', 'Thriller']"
confirmation,1,,,,74.0,Confirmation,2016,"['Drama', 'Television']"
conformist,1,,,4.1,,"Conformist, The (Conformista, Il)",1970,['Drama']
confucius,1,,,,38.0,Confucius,2010,"['Art House & International', 'Drama']"
confusion of genders,1,,3.9,,,Confusion of Genders,2003,"['Drama', 'Comedy', 'Romance']"
congo,1,,5.9,2.9,29.0,Congo,1995,"['Action', 'Adventure', 'Sci-Fi', 'Mystery']"
congo white king red rubber black death,1,,,,80.0,"Congo: White King, Red Rubber, Black Death",2003,"['Documentary', 'Musical & Performing Arts']"
conjuring,1,,,4.2,,"Conjuring, The",2013,"['Horror', 'Thriller']"
connected an autoblogography about love death technology,1,,,,46.0,"Connected: An Autoblogography About Love, Death & Technology",2011,"['Documentary', 'Special Interest']"
connections,1,,,5.0,,Connections,1978,['Documentary']
connie and carla,1,,6.8,,,Connie and Carla,2004,"['Comedy', 'Crime']"
conor mcgregor notorious,1,,,,72.0,Conor McGregor: Notorious,,['Documentary']
conquest,1,,,,50.0,Conquest,1937,"['Drama', 'Romance']"
conquest 1453,1,6.5,,,,Conquest 1453,2012,"['Action', 'Drama', 'History']"
conquest of space,1,,,,26.0,Conquest of Space,1955,"['Classics', 'Science Fiction & Fantasy']"
conquest of the planet apes,1,,,2.8,46.0,Conquest of the Planet of the Apes,1972,"['Action', 'Sci-Fi']"
consenting adults,1,,,,24.0,Consenting Adults,1992,['Mystery & Suspense']
conspiracy,1,,,,86.0,Conspiracy,2001,"['Drama', 'Television']"
conspiracy theory,1,6.7,6.9,2.9,64.0,Conspiracy Theory,1997,"['Action', 'Drama', 'Mystery']"
constant gardener,1,,,3.5,,"Constant Gardener, The",2005,"['Drama', 'Thriller']"
constantine,1,7.0,8.7,3.5,72.0,Constantine,2005,"['Action', 'Fantasy', 'Horror']"
constantine s sword,1,,,,77.0,Constantine's Sword,2007,"['Documentary', 'Special Interest', 'Faith & Spirituality']"
constellation,1,,5.2,,,Constellation,2007,['Drama']
contact,1,7.5,8.0,3.7,78.0,Contact,1997,"['Drama', 'Mystery', 'Sci-Fi']"
contact high,1,,,3.0,,Contact High,2009,['Comedy']
contagion,1,6.8,6.9,3.7,63.0,Contagion,2011,"['Drama', 'Thriller']"
contamination,1,,,,29.0,Contamination,1980,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']"
conte d hiver,1,,,,80.0,Conte d'hiver (A Tale of Winter),1992,"['Drama', 'Romance']"
contempt,1,,,3.0,85.0,"Contempt (Mépris, Le)",1963,['Drama']
contender,1,,,3.1,,"Contender, The",2000,"['Drama', 'Thriller']"
continental divide,1,,,5.0,53.0,Continental Divide,1981,"['Comedy', 'Romance']"
contraband,1,,,,67.0,Contraband,1940,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama', 'Mystery & Suspense']"
contraband,2,6.4,6.0,3.0,57.0,Contraband,2012,"['Action', 'Adventure', 'Crime']"
contract killer,1,,,,53.0,Contract Killer,2002,"['Action & Adventure', 'Art House & International', 'Comedy']"
contract to kill,1,,,,18.0,Contract to Kill,2016,"['Action & Adventure', 'Drama']"
contracted,1,,,,29.0,Contracted,2013,"['Drama', 'Horror', 'Mystery & Suspense']"
contracted phase ii,1,,6.0,,14.0,Contracted: Phase II,2015,"['Drama', 'Thriller', 'Horror']"
control,1,,,3.5,,Control (Kontroll),2003,"['Comedy', 'Crime', 'Drama', 'Mystery']"
control,2,,8.7,,89.0,Control,2005,"['Drama', 'Thriller', 'Romance', 'Crime']"
control,3,,7.6,4.2,89.0,Control,2007,"['Biography', 'Drama', 'Music']"
control room,1,,8.0,4.3,,Control Room,2004,['Documentary']
conventioneers,1,,,,59.0,Conventioneers,2005,"['Comedy', 'Drama']"
conversation,1,,,4.2,,"Conversation, The",1974,"['Drama', 'Mystery']"
conversations with god,1,,5.5,,67.0,Conversations with God,2006,"['Adventure', 'Drama']"
conversations with other women,1,,7.7,4.0,,Conversations with Other Women,2005,"['Drama', 'Comedy', 'Romance']"
conviction,1,,7.1,,70.0,Conviction,2010,"['Biography', 'Drama', 'Thriller']"
convoy,1,,,,73.0,Convoy,1978,"['Action & Adventure', 'Drama']"
coogan s bluff,1,,,,50.0,Coogan's Bluff,1968,"['Action & Adventure', 'Classics', 'Drama']"
cook off,1,,,,64.0,Cook Off!,2017,['Comedy']
cook the thief his wife her lover,1,,,3.1,,"Cook the Thief His Wife & Her Lover, The",1989,"['Comedy', 'Drama']"
cookie,1,,,,39.0,Cookie,1989,['Comedy']
cookie s fortune,1,,7.6,3.9,65.0,Cookie's Fortune,1999,"['Drama', 'Comedy']"
cool as ice,1,,,,44.0,Cool as Ice,1991,"['Action & Adventure', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Romance']"
cool dry place a,1,,,3.0,,"Cool, Dry Place, A",1998,['Drama']
cool hand luke,1,,,4.3,95.0,Cool Hand Luke,1967,['Drama']
cool hand luke,2,,9.0,,,Cool Hand Luke,,"['Drama', 'Crime']"
cool it,1,,,,74.0,Cool It,2010,['Documentary']
cool runnings,1,7.0,,3.1,81.0,Cool Runnings,1993,"['Adventure', 'Comedy', 'Family']"
cool world,1,,5.9,2.5,31.0,Cool World,1992,"['Fantasy', 'Comedy', 'Animation']"
cooler,1,,,3.6,,"Cooler, The",2003,"['Comedy', 'Drama', 'Romance']"
cooley high,1,,,,89.0,Cooley High,1975,"['Classics', 'Comedy', 'Drama']"
cooties,1,,6.6,3.5,37.0,Cooties,2015,"['Action', 'Sci-Fi', 'Horror', 'Comedy']"
cop,1,,,1.5,48.0,Cop,1988,['Thriller']
cop 1 2,1,,,,34.0,Cop & 1/2,1993,"['Comedy', 'Kids & Family']"
cop and ½,1,,,1.5,,Cop and ½,1993,['Comedy']
cop car,1,,6.1,3.5,53.0,Cop Car,2015,['Thriller']
cop land,1,7.0,6.5,3.3,67.0,Cop Land,1997,"['Crime', 'Drama', 'Thriller']"
cop out,1,5.5,5.1,2.5,40.0,Cop Out,2010,"['Action', 'Comedy', 'Crime']"
copenhagen,1,,,4.5,,Copenhagen,2014,"['Adventure', 'Drama', 'Romance']"
copperhead,1,,,,45.0,Copperhead,2013,['Drama']
cops and robbersons,1,,,2.2,22.0,Cops and Robbersons,1994,['Comedy']
copwatch,1,,,,87.0,Copwatch,2017,['Documentary']
copycat,1,6.6,8.7,3.2,64.0,Copycat,1995,"['Drama', 'Mystery', 'Thriller']"
copying beethoven,1,,7.2,,56.0,Copying Beethoven,2006,"['Drama', 'History', 'Music']"
coral reef adventure,1,,,,73.0,Coral Reef Adventure,2004,"['Documentary', 'Special Interest']"
coraline,1,7.7,8.4,3.7,73.0,Coraline,2009,"['Animation', 'Drama', 'Family']"
corbeau le,1,,,4.2,,"Corbeau, Le (Raven, The)",1943,"['Crime', 'Drama', 'Thriller']"
core,1,,,2.4,,"Core, The",2003,"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
coriolanus,1,,6.9,2.5,58.0,Coriolanus,2011,"['Drama', 'History', 'Thriller']"
corky romano,1,,7.8,1.3,39.0,Corky Romano,2001,"['Comedy', 'Crime']"
corman s world exploits of a hollywood rebel,1,,,,84.0,Corman's World: Exploits Of A Hollywood Rebel,2011,"['Documentary', 'Television']"
corner gas the movie,1,,,3.5,,Corner Gas: The Movie,2014,['Comedy']
cornered,1,,,4.5,,Cornered!,2009,"['Comedy', 'Horror']"
corpo celeste,1,,,,45.0,Corpo Celeste,2012,"['Art House & International', 'Comedy', 'Documentary', 'Drama', 'Special Interest', 'Faith & Spirituality']"
corporate animals,1,,,,15.0,Corporate Animals,2019,"['Comedy', 'Horror']"
corporation,1,,,3.9,,"Corporation, The",2003,['Documentary']
corpse bride,1,7.4,7.9,3.5,,Corpse Bride,2005,"['Animation', 'Drama', 'Family']"
correspondence,1,,,,36.0,Correspondence (La corrispondenza),,"['Art House & International', 'Drama', 'Romance']"
corrina,1,,,3.2,69.0,"Corrina, Corrina",1994,"['Comedy', 'Drama', 'Romance']"
corruptor,1,,,2.5,,"Corruptor, The",1999,"['Action', 'Crime', 'Drama', 'Thriller']"
corvette summer,1,,,,43.0,Corvette Summer,1978,"['Action & Adventure', 'Comedy', 'Drama']"
cosmic scrat tastrophe,1,,,5.0,,Cosmic Scrat-tastrophe,2015,"['Animation', 'Children', 'Comedy']"
cosmopolis,1,,5.3,,31.0,Cosmopolis,2012,['Drama']
cosmos,1,,,4.5,,Cosmos,,[]
cost of a soul,1,,3.0,,48.0,Cost of a Soul,2011,"['Drama', 'Crime']"
cote d azur,1,,4.7,,,Cote d'Azur,2005,"['Comedy', 'Romance', 'Musical']"
cottage,1,,,4.2,,"Cottage, The",2008,"['Comedy', 'Crime', 'Horror', 'Thriller']"
cottage country,1,,,,29.0,Cottage Country,,"['Action & Adventure', 'Comedy', 'Drama']"
cotton club,1,,,3.2,,"Cotton Club, The",1984,"['Crime', 'Musical']"
couch trip,1,,,2.0,,"Couch Trip, The",1988,['Comedy']
counselor,1,,,1.5,,"Counselor, The",2013,"['Crime', 'Drama', 'Thriller']"
count yorga vampire,1,,,,42.0,"Count Yorga, Vampire",1970,"['Cult Movies', 'Horror']"
countdown,1,,,,27.0,Countdown,1968,"['Action & Adventure', 'Documentary', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
countdown,2,,,,72.0,Countdown,2019,"['Horror', 'Mystery & Suspense']"
countdown to zero,1,,6.5,,72.0,Countdown to Zero,2010,['Documentary']
counterfeiters,1,,,3.3,,"Counterfeiters, The (Die Fälscher)",2007,"['Crime', 'Drama', 'War']"
counterfeiters,2,,,,91.0,Counterfeiters,2018,['Drama']
country girl,1,,,3.5,,"Country Girl, The",1954,['Drama']
country strong,1,,6.2,,53.0,Country Strong,2010,"['Drama', 'Music']"
couples retreat,1,5.5,3.3,3.3,39.0,Couples Retreat,2009,['Comedy']
courage under fire,1,6.6,6.8,3.3,66.0,Courage Under Fire,1996,"['Action', 'Drama', 'Mystery']"
courageous,1,,7.6,,86.0,Courageous,2011,['Drama']
courier,1,,,3.5,,Courier,1987,"['Comedy', 'Drama', 'Romance']"
court,1,,,,79.0,Court,2015,['Drama']
court jester,1,,,3.5,,"Court Jester, The",1956,"['Adventure', 'Comedy', 'Musical']"
cousin bette,1,,,,40.0,Cousin Bette,1998,"['Comedy', 'Drama']"
cousin jules,1,,8.1,,83.0,Cousin Jules,2013,['Documentary']
cousins,1,,,3.0,67.0,Cousins,1989,"['Comedy', 'Romance']"
cove,1,,,4.2,,"Cove, The",2009,['Documentary']
covenant,1,,,3.0,,"Covenant, The",2006,"['Action', 'Horror', 'Thriller']"
cover,1,,,,78.0,Cover,2007,"['Drama', 'Mystery & Suspense']"
cover girl,1,,,,70.0,Cover Girl,1944,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Romance']"
cowards bend the knee or blue hands,1,,5.2,,,Cowards Bend the Knee or The Blue Hands,2004,"['Drama', 'Romance']"
cowboy,1,,,,57.0,Cowboy,1958,"['Action & Adventure', 'Classics', 'Western']"
cowboy bebop the movie,1,,,3.9,,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira),2001,"['Action', 'Animation', 'Sci-Fi', 'Thriller']"
cowboy bebop the movie knockin on heaven s door,1,,8.0,,,Cowboy Bebop the Movie: Knockin' on Heaven's Door,2003,"['Action', 'Sci-Fi', 'Thriller', 'Comedy', 'Crime', 'Animation']"
cowboy del amor,1,,7.7,,,Cowboy del Amor,2006,['Documentary']
cowboy way,1,,,2.7,,"Cowboy Way, The",1994,"['Action', 'Comedy', 'Drama']"
cowboys aliens,1,6.0,5.9,3.0,43.0,Cowboys & Aliens,2011,"['Action', 'Drama', 'Sci-Fi']"
cowboys angels,1,,7.7,,,Cowboys & Angels,2004,"['Drama', 'Comedy']"
coyote lake,1,,,,83.0,Coyote Lake,2019,['Mystery & Suspense']
coyote ugly,1,5.7,5.8,2.7,71.0,Coyote Ugly,2000,"['Comedy', 'Drama', 'Music']"
cq,1,,6.9,3.0,69.0,CQ,2001,"['Sci-Fi', 'Drama', 'Comedy']"
crack in the world,1,,,,41.0,Crack in the World,1965,"['Drama', 'Science Fiction & Fantasy']"
cracks,1,,6.6,,48.0,Cracks,2011,"['Drama', 'Thriller', 'Romance']"
cradle 2 the grave,1,,7.7,3.5,52.0,Cradle 2 the Grave,2003,"['Action', 'Drama', 'Thriller', 'Crime']"
cradle of champions,1,,,,100.0,Cradle of Champions,,['Documentary']
cradle will rock,1,,,3.2,71.0,Cradle Will Rock,1999,['Drama']
craft,1,,,3.0,,"Craft, The",1996,"['Drama', 'Fantasy', 'Horror', 'Thriller']"
craig ferguson i m here to help,1,,,5.0,,Craig Ferguson: I'm Here To Help,2013,"['Comedy', 'Documentary']"
craig ferguson tickle fight,1,,,2.5,,Craig Ferguson: Tickle Fight,2017,['Comedy']
craigslist joe,1,,,,64.0,Craigslist Joe,2012,"['Action & Adventure', 'Documentary', 'Special Interest']"
cranes are flying,1,,,4.0,,"Cranes Are Flying, The (Letyat zhuravli)",1957,"['Drama', 'Romance', 'War']"
crank,1,6.9,4.6,3.4,71.0,Crank,2006,"['Action', 'Crime', 'Thriller']"
crank 2 high voltage,1,,,,49.0,Crank 2: High Voltage,2009,"['Action & Adventure', 'Comedy']"
crank high voltage,1,6.1,6.6,2.9,,Crank: High Voltage,2009,"['Action', 'Crime', 'Thriller']"
crash,1,6.4,2.4,3.1,,Crash,1996,['Drama']
crash,2,7.7,8.6,3.9,88.0,Crash,2004,"['Crime', 'Drama', 'Thriller']"
crash pad,1,,,,53.0,Crash Pad,2017,['Comedy']
crave,1,,,,26.0,Crave,2013,"['Drama', 'Mystery & Suspense']"
crawford,1,,,,72.0,Crawford,2008,"['Documentary', 'Special Interest']"
crawl,1,,,,20.0,Crawl,2011,"['Comedy', 'Mystery & Suspense']"
crawl,2,6.1,6.4,,75.0,Crawl,2019,"['Action', 'Adventure', 'Horror']"
crazies,1,,,3.5,,"Crazies, The (a.k.a. Code Name: Trixie)",1973,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']"
crazies,2,,,3.4,,"Crazies, The",2010,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']"
crazy about tiffany s,1,,,,36.0,Crazy About Tiffany's,2016,['Documentary']
crazy as hell,1,,,,54.0,Crazy as Hell,2002,"['Drama', 'Horror', 'Mystery & Suspense']"
crazy beautiful,1,,8.3,3.4,69.0,Crazy/Beautiful,2001,"['Drama', 'Romance']"
crazy eyes,1,,,,21.0,Crazy Eyes,2012,['Comedy']
crazy heart,1,7.2,7.5,4.1,76.0,Crazy Heart,2009,"['Drama', 'Music', 'Romance']"
crazy horse,1,,,,52.0,Crazy Horse,2012,"['Documentary', 'Special Interest']"
crazy in alabama,1,,,3.0,64.0,Crazy in Alabama,1999,"['Comedy', 'Drama']"
crazy love,1,,6.9,,73.0,Crazy Love,2007,['Documentary']
crazy on the outside,1,,4.6,,28.0,Crazy on the Outside,2010,"['Comedy', 'Crime']"
crazy people,1,,,,62.0,Crazy People,1990,['Comedy']
crazy rich asians,1,6.9,6.9,,76.0,Crazy Rich Asians,2018,"['Comedy', 'Drama', 'Romance']"
crazy stupid love,1,7.4,7.5,4.0,78.0,"Crazy, Stupid, Love.",2011,"['Comedy', 'Drama', 'Romance']"
crazy wisdom the life times of chogyam trungpa rinpoche,1,,4.8,,,Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche,2011,['Documentary']
creation,1,,7.2,,49.0,Creation,2010,"['Biography', 'Drama']"
creative control,1,,7.3,,38.0,Creative Control,2016,"['Sci-Fi', 'Drama']"
creator,1,,,,76.0,Creator,1985,"['Comedy', 'Drama', 'Science Fiction & Fantasy']"
creature,1,,,,12.0,Creature,1985,"['Horror', 'Science Fiction & Fantasy']"
creature,2,,4.3,,17.0,Creature,2011,['Horror']
creature comforts,1,,,4.2,,Creature Comforts,1989,"['Animation', 'Comedy']"
creature from the black lagoon,1,,,2.1,73.0,"Creature from the Black Lagoon, The",1954,"['Adventure', 'Horror', 'Sci-Fi']"
creed,1,7.6,8.0,3.8,89.0,Creed,2015,"['Action', 'Drama', 'Sport']"
creed ii,1,7.1,7.0,,80.0,Creed II,2018,"['Action', 'Drama', 'Sport']"
creed iii,1,6.8,,,,Creed III,2023,"['Drama', 'Sport']"
